File ID,Temperature (K),G,Pressure (bar),theta
5,273,304.2268882,5,1.35E-243
5,298.15,304.8882837,1,3.11E-224
5,298.15,304.8882837,2,6.21E-224
5,298.15,304.8882837,3,9.32E-224
5,298.15,304.8882837,4,1.24E-223
5,298.15,304.8882837,5,1.55E-223
5,400,307.9197845,1,5.58E-169
5,400,307.9197845,2,1.12E-168
5,400,307.9197845,3,1.67E-168
5,400,307.9197845,4,2.23E-168
5,400,307.9197845,5,2.79E-168
5,500,311.3453616,1,7.94E-137
5,500,311.3453616,2,1.59E-136
5,500,311.3453616,3,2.38E-136
5,500,311.3453616,4,3.18E-136
5,500,311.3453616,5,3.97E-136
5,600,315.1072841,1,1.63E-115
5,600,315.1072841,2,3.26E-115
5,600,315.1072841,3,4.90E-115
5,600,315.1072841,4,6.53E-115
5,600,315.1072841,5,8.16E-115
5,700,319.1214655,1,2.28E-100
5,700,319.1214655,2,4.56E-100
5,700,319.1214655,3,6.83E-100
5,700,319.1214655,4,9.11E-100
5,700,319.1214655,5,1.14E-99
6,77,0.65386542,1,0.013739331
6,77,0.65386542,2,0.027106239
6,77,0.65386542,3,0.040115667
6,77,0.65386542,4,0.052781764
6,77,0.65386542,5,0.065117945
6,100,1.0730421,1,0.004494874
6,100,1.0730421,2,0.008949522
6,100,1.0730421,3,0.01336448
6,100,1.0730421,4,0.017740277
6,100,1.0730421,5,0.022077431
6,273,4.20494451,1,0.000429805
6,273,4.20494451,2,0.00085924
6,273,4.20494451,3,0.001288306
6,273,4.20494451,4,0.001717005
6,273,4.20494451,5,0.002145335
6,298.15,4.64106396,1,0.000395872
6,298.15,4.64106396,2,0.000791431
6,298.15,4.64106396,3,0.001186677
6,298.15,4.64106396,4,0.00158161
6,298.15,4.64106396,5,0.001976231
6,400,6.36420642,1,0.00033291
6,400,6.36420642,2,0.000665598
6,400,6.36420642,3,0.000998065
6,400,6.36420642,4,0.001330311
6,400,6.36420642,5,0.001662336
6,500,7.99133985,1,0.00032104
6,500,7.99133985,2,0.000641874
6,500,7.99133985,3,0.000962502
6,500,7.99133985,4,0.001282925
6,500,7.99133985,5,0.001603142
6,600,9.56387991,1,0.000328041
6,600,9.56387991,2,0.000655867
6,600,9.56387991,3,0.000983478
6,600,9.56387991,4,0.001310875
6,600,9.56387991,5,0.001638057
6,700,11.08935672,1,0.000344596
6,700,11.08935672,2,0.000688955
6,700,11.08935672,3,0.001033077
6,700,11.08935672,4,0.001376962
6,700,11.08935672,5,0.00172061
7,77,0.19829316,1,0.214831862
7,77,0.19829316,2,0.353681639
7,77,0.19829316,3,0.450802224
7,77,0.19829316,4,0.522547738
7,77,0.19829316,5,0.5777139
7,100,0.5773092,1,0.051885727
7,100,0.5773092,2,0.098652782
7,100,0.5773092,3,0.141023016
7,100,0.5773092,4,0.179588644
7,100,0.5773092,5,0.214840095
7,273,3.2818773,1,0.002352105
7,273,3.2818773,2,0.004693171
7,273,3.2818773,3,0.007023275
7,273,3.2818773,4,0.009342495
7,273,3.2818773,5,0.011650907
7,298.15,3.65022567,1,0.002104631
7,298.15,3.65022567,2,0.004200422
7,298.15,3.65022567,3,0.006287428
7,298.15,3.65022567,4,0.008365704
7,298.15,3.65022567,5,0.010435305
7,400,5.08973361,1,0.001652534
7,400,5.08973361,2,0.003299615
7,400,5.08973361,3,0.00494127
7,400,5.08973361,4,0.006577526
7,400,5.08973361,5,0.00820841
7,500,6.4319775,1,0.001540573
7,500,6.4319775,2,0.003076407
7,500,6.4319775,3,0.004607524
7,500,6.4319775,4,0.006133944
7,500,6.4319775,5,0.00765569
7,600,7.71962802,1,0.001538955
7,600,7.71962802,2,0.00307318
7,600,7.71962802,3,0.004602698
7,600,7.71962802,4,0.00612753
7,600,7.71962802,5,0.007647697
7,700,8.95770525,1,0.001593508
7,700,8.95770525,2,0.003181946
7,700,8.95770525,3,0.004765338
7,700,8.95770525,4,0.006343708
7,700,8.95770525,5,0.007917079
8,77,0.13114959,1,0.297926254
8,77,0.13114959,2,0.459080403
8,77,0.13114959,3,0.560063513
8,77,0.13114959,4,0.629273619
8,77,0.13114959,5,0.679667774
8,100,0.57291663,1,0.052984063
8,100,0.57291663,2,0.10063602
8,100,0.57291663,3,0.143722214
8,100,0.57291663,4,0.182868847
8,100,0.57291663,5,0.218592614
8,273,4.03990938,1,0.000582551
8,273,4.03990938,2,0.001164425
8,273,4.03990938,3,0.001745621
8,273,4.03990938,4,0.002326141
8,273,4.03990938,5,0.002905986
8,298.15,4.5368973,1,0.000471937
8,298.15,4.5368973,2,0.000943429
8,298.15,4.5368973,3,0.001414477
8,298.15,4.5368973,4,0.00188508
8,298.15,4.5368973,5,0.002355241
8,400,6.51857388,1,0.000274159
8,400,6.51857388,2,0.000548168
8,400,6.51857388,3,0.000822027
8,400,6.51857388,4,0.001095736
8,400,6.51857388,5,0.001369295
8,500,8.40926151,1,0.000210823
8,500,8.40926151,2,0.000421558
8,500,8.40926151,3,0.000632203
8,500,8.40926151,4,0.00084276
8,500,8.40926151,5,0.001053228
8,600,10.25225838,1,0.000184174
8,600,10.25225838,2,0.00036828
8,600,10.25225838,3,0.000552319
8,600,10.25225838,4,0.000736289
8,600,10.25225838,5,0.000920192
8,700,12.05070204,1,0.000172669
8,700,12.05070204,2,0.000345279
8,700,12.05070204,3,0.000517829
8,700,12.05070204,4,0.000690319
8,700,12.05070204,5,0.00086275
9,77,0.37713351,1,0.078352785
9,77,0.37713351,2,0.14531939
9,77,0.37713351,3,0.203213644
9,77,0.37713351,4,0.253762211
9,77,0.37713351,5,0.298279732
9,100,0.73920678,1,0.023655605
9,100,0.73920678,2,0.046217898
9,100,0.73920678,3,0.067760962
9,100,0.73920678,4,0.088352336
9,100,0.73920678,5,0.108053721
9,273,3.388554,1,0.001933001
9,273,3.388554,2,0.003858543
9,273,3.388554,3,0.00577667
9,273,3.388554,4,0.007687424
9,273,3.388554,5,0.009590848
9,298.15,3.75313731,1,0.001769617
9,298.15,3.75313731,2,0.003532982
9,298.15,3.75313731,3,0.005290128
9,298.15,3.75313731,4,0.007041087
9,298.15,3.75313731,5,0.008785894
9,400,5.1832326,1,0.001469401
9,400,5.1832326,2,0.00293449
9,400,5.1832326,3,0.004395286
9,400,5.1832326,4,0.005851808
9,400,5.1832326,5,0.007304074
9,500,6.52171143,1,0.001407713
9,500,6.52171143,2,0.002811469
9,500,6.52171143,3,0.004211284
9,500,6.52171143,4,0.005607174
9,500,6.52171143,5,0.006999156
9,600,7.80559689,1,0.001432042
9,600,7.80559689,2,0.002859988
9,600,7.80559689,3,0.004283856
9,600,7.80559689,4,0.005703663
9,600,7.80559689,5,0.007119427
9,700,9.04179159,1,0.001500168
9,700,9.04179159,2,0.002995841
9,700,9.04179159,3,0.004487041
9,700,9.04179159,4,0.005973786
9,700,9.04179159,5,0.007456098
10,77,0.31689255,1,0.11192704
10,77,0.31689255,2,0.201320834
10,77,0.31689255,3,0.274363688
10,77,0.31689255,4,0.335165808
10,77,0.31689255,5,0.386566308
10,100,0.69277104,1,0.029698291
10,100,0.69277104,2,0.057683481
10,100,0.69277104,3,0.084099642
10,100,0.69277104,4,0.109075129
10,100,0.69277104,5,0.132724671
10,273,3.42181203,1,0.001818256
10,273,3.42181203,2,0.003629913
10,273,3.42181203,3,0.005435005
10,273,3.42181203,4,0.007233568
10,273,3.42181203,5,0.009025638
10,298.15,3.79580799,1,0.001646841
10,298.15,3.79580799,2,0.003288266
10,298.15,3.79580799,3,0.004924303
10,298.15,3.79580799,4,0.006554978
10,298.15,3.79580799,5,0.008180317
10,400,5.26041633,1,0.001333597
10,400,5.26041633,2,0.002663642
10,400,5.26041633,3,0.003990149
10,400,5.26041633,4,0.005313132
10,400,5.26041633,5,0.006632605
10,500,6.63152568,1,0.001260592
10,500,6.63152568,2,0.002518009
10,500,6.63152568,3,0.003772265
10,500,6.63152568,4,0.00502337
10,500,6.63152568,5,0.006271337
10,600,7.94615913,1,0.001272978
10,600,7.94615913,2,0.002542719
10,600,7.94615913,3,0.003809235
10,600,7.94615913,4,0.00507254
10,600,7.94615913,5,0.006332644
10,700,9.21372933,1,0.001325958
10,700,9.21372933,2,0.002648405
10,700,9.21372933,3,0.003967353
10,700,9.21372933,4,0.005282818
10,700,9.21372933,5,0.006594813
11,77,0.35705319,1,0.088370437
11,77,0.35705319,2,0.162390367
11,77,0.35705319,3,0.225292855
11,77,0.35705319,4,0.279407627
11,77,0.35705319,5,0.326455962
11,100,0.81701802,1,0.016114074
11,100,0.81701802,2,0.031717057
11,100,0.81701802,3,0.046832885
11,100,0.81701802,4,0.061484022
11,100,0.81701802,5,0.075691572
11,273,4.43900574,1,0.000279218
11,273,4.43900574,2,0.00055828
11,273,4.43900574,3,0.000837187
11,273,4.43900574,4,0.001115938
11,273,4.43900574,5,0.001394533
11,298.15,4.95858402,1,0.000231664
11,298.15,4.95858402,2,0.000463221
11,298.15,4.95858402,3,0.00069467
11,298.15,4.95858402,4,0.000926012
11,298.15,4.95858402,5,0.001157247
11,400,7.02873951,1,0.000144309
11,400,7.02873951,2,0.000288577
11,400,7.02873951,3,0.000432803
11,400,7.02873951,4,0.000576988
11,400,7.02873951,5,0.000721131
11,500,9.00602352,1,0.000115636
11,500,9.00602352,2,0.000231246
11,500,9.00602352,3,0.000346828
11,500,9.00602352,4,0.000462384
11,500,9.00602352,5,0.000577914
11,600,10.93373424,1,0.000103996
11,600,10.93373424,2,0.00020797
11,600,10.93373424,3,0.000311922
11,600,10.93373424,4,0.000415853
11,600,10.93373424,5,0.000519762
11,700,12.81814677,1,9.95E-05
11,700,12.81814677,2,0.000198887
11,700,12.81814677,3,0.000298301
11,700,12.81814677,4,0.000397695
11,700,12.81814677,5,0.00049707
12,77,-0.05082831,1,0.582297821
12,77,-0.05082831,2,0.736015449
12,77,-0.05082831,3,0.807029927
12,77,-0.05082831,4,0.84793652
12,77,-0.05082831,5,0.87453344
12,100,0.20833332,1,0.259516757
12,100,0.20833332,2,0.412089407
12,100,0.20833332,3,0.512530015
12,100,0.20833332,4,0.583659087
12,100,0.20833332,5,0.636673753
12,273,1.95281112,1,0.026597589
12,273,1.95281112,2,0.051816972
12,273,1.95281112,3,0.075762565
12,273,1.95281112,4,0.098528496
12,273,1.95281112,5,0.120199842
12,298.15,2.17934223,1,0.024633973
12,298.15,2.17934223,2,0.04808346
12,298.15,2.17934223,3,0.070431886
12,298.15,2.17934223,4,0.091755021
12,298.15,2.17934223,5,0.112121841
12,400,3.03965844,1,0.021364432
12,400,3.03965844,2,0.041835081
12,400,3.03965844,3,0.061466885
12,400,3.03965844,4,0.08031037
12,400,3.03965844,5,0.098412085
12,500,3.81337827,1,0.021075828
12,500,3.81337827,2,0.041281612
12,500,3.81337827,3,0.060670137
12,500,3.81337827,4,0.079290004
12,500,3.81337827,5,0.097186035
12,600,4.52936718,1,0.021899101
12,600,4.52936718,2,0.042859615
12,600,4.52936718,3,0.062940618
12,600,4.52936718,4,0.082196328
12,600,4.52936718,5,0.100676598
12,700,5.19641031,1,0.02329364
12,700,5.19641031,2,0.045526795
12,700,5.19641031,3,0.066770275
12,700,5.19641031,4,0.087088721
12,700,5.19641031,5,0.106541265
13,77,0.20331324,1,0.209349091
13,77,0.20331324,2,0.3462178
13,77,0.20331324,3,0.442692661
13,77,0.20331324,4,0.514356295
13,77,0.20331324,5,0.569689521
13,100,0.54718872,1,0.059869946
13,100,0.54718872,2,0.112976023
13,100,0.54718872,3,0.160403178
13,100,0.54718872,4,0.203016095
13,100,0.54718872,5,0.241512393
13,273,2.94553194,1,0.004363784
13,273,2.94553194,2,0.008689648
13,273,2.94553194,3,0.012978084
13,273,2.94553194,4,0.017229577
13,273,2.94553194,5,0.021444601
13,298.15,3.26681706,1,0.004012492
13,298.15,3.26681706,2,0.007992913
13,298.15,3.26681706,3,0.011941645
13,298.15,3.26681706,4,0.015859066
13,298.15,3.26681706,5,0.019745546
13,400,4.51618947,1,0.003394593
13,400,4.51618947,2,0.006766218
13,400,4.51618947,3,0.010115107
13,400,4.51618947,4,0.013441488
13,400,4.51618947,5,0.016745589
13,500,5.67143538,1,0.00330654
13,500,5.67143538,2,0.006591286
13,500,5.67143538,3,0.009854452
13,500,5.67143538,4,0.013096251
13,500,5.67143538,5,0.016316891
13,600,6.76957788,1,0.003407975
13,600,6.76957788,2,0.006792799
13,600,6.76957788,3,0.01015471
13,600,6.76957788,4,0.013493937
13,600,6.76957788,5,0.016810711
13,700,7.8187746,1,0.003606595
13,700,7.8187746,2,0.007187269
13,700,7.8187746,3,0.0107423
13,700,7.8187746,4,0.014271962
13,700,7.8187746,5,0.017776526
14,77,1.42821276,1,8.83E-05
14,77,1.42821276,2,0.000176566
14,77,1.42821276,3,0.000264826
14,77,1.42821276,4,0.00035307
14,77,1.42821276,5,0.000441299
14,100,1.72063242,1,0.00017345
14,100,1.72063242,2,0.00034684
14,100,1.72063242,3,0.000520169
14,100,1.72063242,4,0.000693439
14,100,1.72063242,5,0.000866648
14,273,3.70356402,1,0.001082431
14,273,3.70356402,2,0.002162521
14,273,3.70356402,3,0.003240278
14,273,3.70356402,4,0.00431571
14,273,3.70356402,5,0.005388823
14,298.15,3.96272565,1,0.001242977
14,298.15,3.96272565,2,0.002482868
14,298.15,3.96272565,3,0.003719685
14,298.15,3.96272565,4,0.004953438
14,298.15,3.96272565,5,0.006184139
14,400,4.95481896,1,0.001957662
14,400,4.95481896,2,0.003907673
14,400,4.95481896,3,0.00585008
14,400,4.95481896,4,0.007784926
14,400,4.95481896,5,0.009712255
14,500,5.85404079,1,0.002752907
14,500,5.85404079,2,0.005490699
14,500,5.85404079,3,0.0082135
14,500,5.85404079,4,0.010921432
14,500,5.85404079,5,0.013614618
14,600,6.69427668,1,0.003629364
14,600,6.69427668,2,0.007232479
14,600,6.69427668,3,0.010809629
14,600,6.69427668,4,0.014361092
14,600,6.69427668,5,0.017887146
14,700,7.48305675,1,0.004586639
14,700,7.48305675,2,0.009131395
14,700,7.48305675,3,0.01363484
14,700,7.48305675,4,0.018097535
14,700,7.48305675,5,0.022520029
15,77,0.13052208,1,0.298784838
15,77,0.13052208,2,0.460099055
15,77,0.13052208,3,0.561073816
15,77,0.13052208,4,0.630229919
15,77,0.13052208,5,0.68056007
15,100,0.45431724,1,0.092251559
15,100,0.45431724,2,0.168919986
15,100,0.45431724,3,0.23364622
15,100,0.45431724,4,0.289018902
15,100,0.45431724,5,0.336928921
15,273,2.70205806,1,0.006818986
15,273,2.70205806,2,0.013545605
15,273,2.70205806,3,0.020181721
15,273,2.70205806,4,0.026729148
15,273,2.70205806,5,0.033189653
15,298.15,3.00138033,1,0.006266381
15,298.15,3.00138033,2,0.012454715
15,298.15,3.00138033,3,0.018566453
15,298.15,3.00138033,4,0.024603007
15,298.15,3.00138033,5,0.030565757
15,400,4.16101881,1,0.005297003
15,400,4.16101881,2,0.010538185
15,400,4.16101881,3,0.015724425
15,400,4.16101881,4,0.02085658
15,400,4.16101881,5,0.025935494
15,500,5.22841332,1,0.005154997
15,500,5.22841332,2,0.010257119
15,500,5.22841332,3,0.015307175
15,500,5.22841332,4,0.020305958
15,500,5.22841332,5,0.025254244
15,600,6.23870442,1,0.005309498
15,600,6.23870442,2,0.010562911
15,600,6.23870442,3,0.015761125
15,600,6.23870442,4,0.020905005
15,600,6.23870442,5,0.025995398
15,700,7.20004974,1,0.005615797
15,700,7.20004974,2,0.011168871
15,700,7.20004974,3,0.016660269
15,700,7.20004974,4,0.022091011
15,700,7.20004974,5,0.027462097
16,77,1.30082823,1,0.00020298
16,77,1.30082823,2,0.000405877
16,77,1.30082823,3,0.000608692
16,77,1.30082823,4,0.000811425
16,77,1.30082823,5,0.001014076
16,100,1.65599889,1,0.000240112
16,100,1.65599889,2,0.000480108
16,100,1.65599889,3,0.000719989
16,100,1.65599889,4,0.000959755
16,100,1.65599889,5,0.001199406
16,273,4.2607929,1,0.000387772
16,273,4.2607929,2,0.000775243
16,273,4.2607929,3,0.001162414
16,273,4.2607929,4,0.001549285
16,273,4.2607929,5,0.001935857
16,298.15,4.61910111,1,0.000410817
16,298.15,4.61910111,2,0.000821297
16,298.15,4.61910111,3,0.001231441
16,298.15,4.61910111,4,0.001641247
16,298.15,4.61910111,5,0.002050717
16,400,6.02535102,1,0.000509809
16,400,6.02535102,2,0.001019098
16,400,6.02535102,3,0.001527868
16,400,6.02535102,4,0.002036121
16,400,6.02535102,5,0.002543856
16,500,7.34061198,1,0.000617855
16,500,7.34061198,2,0.001234948
16,500,7.34061198,3,0.001851278
16,500,7.34061198,4,0.002466849
16,500,7.34061198,5,0.003081661
16,600,8.60190708,1,0.000734817
16,600,8.60190708,2,0.001468554
16,600,8.60190708,3,0.002201215
16,600,8.60190708,4,0.002932802
16,600,8.60190708,5,0.003663316
16,700,9.81488391,1,0.000861048
16,700,9.81488391,2,0.001720615
16,700,9.81488391,3,0.002578704
16,700,9.81488391,4,0.003435319
16,700,9.81488391,5,0.004290464
17,77,0.2572791,1,0.156887193
17,77,0.2572791,2,0.271222974
17,77,0.2572791,3,0.35825145
17,77,0.2572791,4,0.426711883
17,77,0.2572791,5,0.48197386
17,100,0.6149598,1,0.043317455
17,100,0.6149598,2,0.083037918
17,100,0.6149598,3,0.11959156
17,100,0.6149598,4,0.153342587
17,100,0.6149598,5,0.184601419
17,273,3.22853895,1,0.002594506
17,273,3.22853895,2,0.005175583
17,273,3.22853895,3,0.007743336
17,273,3.22853895,4,0.010297869
17,273,3.22853895,5,0.012839281
17,298.15,3.58684716,1,0.002341717
17,298.15,3.58684716,2,0.004672491
17,298.15,3.58684716,3,0.006992401
17,298.15,3.58684716,4,0.009301522
17,298.15,3.58684716,5,0.011599928
17,400,4.98744948,1,0.001879065
17,400,4.98744948,2,0.003751082
17,400,4.98744948,3,0.00561609
17,400,4.98744948,4,0.007474128
17,400,4.98744948,5,0.009325235
17,500,6.29455281,1,0.001768709
17,500,6.29455281,2,0.003531172
17,500,6.29455281,3,0.005287423
17,500,6.29455281,4,0.007037494
17,500,6.29455281,5,0.008781418
17,600,7.54580775,1,0.001780083
17,600,7.54580775,2,0.00355384
17,600,7.54580775,3,0.005321304
17,600,7.54580775,4,0.007082509
17,600,7.54580775,5,0.008837489
17,700,8.74874442,1,0.001851348
17,700,8.74874442,2,0.003695854
17,700,8.74874442,3,0.005533556
17,700,8.74874442,4,0.00736449
17,700,8.74874442,5,0.009188695
18,77,8.73995928,1,1.55E-25
18,77,8.73995928,2,3.11E-25
18,77,8.73995928,3,4.66E-25
18,77,8.73995928,4,6.21E-25
