File ID,Temperature (K),G,Pressure (bar),TDA_H0_max,TDA_H0_min,TDA_H0_mean,TDA_H0_std,TDA_H0_sum,TDA_H1_max,TDA_H1_min,TDA_H1_mean,TDA_H1_std,TDA_H1_sum,TDA_H2_max,TDA_H2_min,TDA_H2_mean,TDA_H2_std,TDA_H2_sum,theta
1,77,-0.22339356,1,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.811547689
1,77,-0.22339356,2,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.895971653
1,77,-0.22339356,3,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.928156516
1,77,-0.22339356,4,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.945131908
1,77,-0.22339356,5,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.955618501
1,100,-0.01568775,1,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.519727738
1,100,-0.01568775,2,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.6839748
1,100,-0.01568775,3,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.764509563
1,100,-0.01568775,4,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.812333771
1,100,-0.01568775,5,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.844012292
1,273,1.34600895,1,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.077176242
1,273,1.34600895,2,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.143293621
1,273,1.34600895,3,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.200570215
1,273,1.34600895,4,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.250668101
1,273,1.34600895,5,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.294857297
1,298.15,1.51606416,1,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.071818439
1,298.15,1.51606416,2,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.134012321
1,298.15,1.51606416,3,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.188394866
1,298.15,1.51606416,4,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.236350733
1,298.15,1.51606416,5,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.278955577
1,400,2.15173179,1,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.062546203
1,400,2.15173179,2,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.11772891
1,400,2.15173179,3,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.166776176
1,400,2.15173179,4,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.210657359
1,400,2.15173179,5,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.250147828
1,500,2.70519561,1,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.061635849
1,500,2.70519561,2,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.116114861
1,500,2.70519561,3,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.164615158
1,500,2.70519561,4,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.208069733
