Element,X,Y,Z
C,0.10147590,0.78599024,2.98448836
C,-0.13378242,-0.60728578,2.98448836
C,-0.99560509,1.65832707,2.76191478
C,0.96329858,-1.47962262,2.76191478
C,-1.46306898,-1.08522622,2.84176710
C,1.43076247,1.26393067,2.84176710
C,-0.77490993,2.84645231,2.02964739
C,-2.32424242,1.18953389,2.93728792
C,0.74260341,-2.66774786,2.02964739
C,2.29193590,-1.01082944,2.93728792
C,-1.68661018,-2.31344350,2.17989503
C,-2.55933510,-0.20141157,3.01831557
C,1.65430366,2.49214795,2.17989503
C,2.52702858,0.38011603,3.01831557
C,-1.88840216,3.48760298,1.42702142
C,0.54320398,3.16700146,1.61057245
C,-3.42232450,2.04776699,2.66942853
C,1.85609564,-3.30889853,1.42702142
C,-0.57551050,-2.98829701,1.61057245
C,3.39001798,-1.86906254,2.66942853
C,-3.00638512,-2.65739153,1.78531444
C,-3.88913698,-0.68660851,2.90872006
C,2.97407860,2.83609598,1.78531444
C,3.85683046,0.86531297,2.90872006
C,-1.70713689,4.12027641,0.17664931
C,-3.20475790,3.19182131,1.86919874
C,0.72949434,3.87046370,0.39937459
C,-4.75018044,1.58998257,2.87687074
C,1.67483037,-3.94157195,0.17664931
C,3.17245138,-3.01311685,1.86919874
C,-0.76180086,-3.69175925,0.39937459
C,4.71787392,-1.41127812,2.87687074
C,-3.19753235,-3.42927385,0.61731456
C,-4.11523220,-1.95080592,2.31944154
C,-4.98477743,0.20601995,3.03865692
C,3.16522583,3.60797831,0.61731456
C,4.08292568,2.12951037,2.31944154
C,4.95247091,-0.02731550,3.03865692
C,-2.84865174,4.36666883,-0.62978208
C,-0.40875023,4.16292626,-0.39621460
C,-4.32077435,3.79741169,1.23527079
C,2.03020215,3.94581173,-0.16479010
H,-5.58905811,2.30065622,2.91190354
C,2.81634523,-4.18796438,-0.62978208
C,0.37644371,-3.98422181,-0.39621460
C,4.28846783,-3.61870723,1.23527079
C,-2.06250867,-3.76710727,-0.16479010
H,5.55675159,-2.12195176,2.91190354
C,-4.50052208,-3.53676592,0.06372314
H,-5.12950569,-2.37447271,2.27753831
H,-5.99547624,-0.16729005,3.26030461
C,4.46821556,3.71547038,0.06372314
H,5.09719918,2.55317716,2.27753831
H,5.96316972,0.34599450,3.26030461
C,-2.72015148,4.25603905,-2.03256932
C,-4.14468572,4.35716277,-0.05012207
C,-0.27451537,4.13307885,-1.80250521
H,-5.30250062,3.83224004,1.73024629
C,2.17017627,3.99681372,-1.56991264
C,2.68784497,-4.07733459,-2.03256932
C,4.11237921,-4.17845831,-0.05012207
C,0.24220885,-3.95437440,-1.80250521
H,5.27019410,-3.65353559,1.73024629
C,-2.20248279,-3.81810926,-1.56991264
C,-4.64622111,-3.66841601,-1.33556357
H,-5.38853249,-3.51822904,0.71264065
C,4.61391459,3.84712046,-1.33556357
H,5.35622597,3.69693349,0.71264065
C,-3.89310492,4.05955380,-2.80695348
C,-1.44427704,3.98155768,-2.59167959
H,-5.00404037,4.77937578,-0.59164385
C,1.00366150,3.89103188,-2.37125581
C,3.45069108,3.78770143,-2.14641409
C,3.86079840,-3.88084934,-2.80695348
C,1.41197052,-3.80285322,-2.59167959
H,4.97173385,-4.60067132,-0.59164385
C,-1.03596802,-3.71232742,-2.37125581
C,-3.48299760,-3.60899697,-2.14641409
H,-5.64072509,-3.81358804,-1.78265095
H,5.60841857,3.99229249,-1.78265095
C,-3.81527269,3.23515959,-3.95188997
H,-4.84343721,4.53663155,-2.52541216
C,-1.36167794,3.22431323,-3.78177271
C,1.09120366,3.20342079,-3.60255206
C,3.54333607,3.17197572,-3.41482328
C,3.78296617,-3.05645514,-3.95188997
H,4.81113069,-4.35792709,-2.52541216
C,1.32937142,-3.04560877,-3.78177271
C,-1.12351018,-3.02471633,-3.60255206
C,-3.57564259,-2.99327126,-3.41482328
C,-2.55811140,2.69706451,-4.33372655
H,-4.72019362,3.01547697,-4.53743048
C,-0.10290631,2.70890311,-4.18876952
C,2.35168559,2.71210380,-4.03335702
C,4.80562268,2.70608004,-3.86800542
C,2.52580488,-2.51836006,-4.33372655
H,4.68788710,-2.83677251,-4.53743048
C,0.07059980,-2.53019866,-4.18876952
C,-2.38399211,-2.53339935,-4.03335702
C,-4.83792920,-2.52737559,-3.86800542
C,-2.51162670,1.43107378,-4.95956178
C,-0.05372043,1.48096413,-4.88612878
C,2.40385995,1.52626380,-4.79992380
C,4.86106279,1.56624633,-4.70123321
H,5.73165817,3.22320520,-3.57638930
C,2.47932018,-1.25236933,-4.95956178
C,0.02141392,-1.30225968,-4.88612878
C,-2.43616647,-1.34755934,-4.79992380
C,-4.89336931,-1.38754188,-4.70123321
H,-5.76396469,-3.04450074,-3.57638930
C,-3.72208607,0.70624094,-5.11286816
C,-1.26345928,0.76628136,-5.08577268
C,1.19502946,0.82437710,-5.04524208
C,3.65332557,0.87975917,-4.99141101
H,5.82081012,1.22179896,-5.11383620
C,3.68977955,-0.52753648,-5.11286816
C,1.23115276,-0.58757690,-5.08577268
C,-1.22733598,-0.64567264,-5.04524208
C,-3.68563209,-0.70105471,-4.99141101
H,-5.85311664,-1.04309450,-5.11383620
H,-4.66947586,1.22476859,-5.32163036
H,4.63716934,-1.04606414,-5.32163036
H,0.03841173,-1.23064613,6.05701960
H,-0.34649511,-0.65932382,6.32727418
