Element,X,Y,Z
C,4.61459279,0.41035685,359.71591107
C,4.74394859,-0.36281485,356.04178107
C,4.46801449,0.91224615,355.48814497
C,4.57102229,0.57916605,358.30665887
C,4.07892699,1.78737015,357.75301897
C,3.54449049,2.58210785,360.01789447
C,3.99214469,1.93857785,356.34376577
C,3.19730929,2.97305875,355.79012787
C,3.43289569,2.71605385,358.60864227
C,2.47125519,3.59762225,358.05500237
C,2.32813099,3.69717305,356.64574917
C,1.16716369,4.29221015,356.09211127
C,1.49004749,4.16068635,358.91062567
C,0.24372059,4.54615305,358.35698577
C,0.07176729,4.57491005,356.94773257
C,-1.23215591,4.61611785,356.39409467
C,-0.88404361,4.63535845,359.21260907
C,-2.17547261,4.45062445,358.65896917
C,-2.34320221,4.40306405,357.24971647
C,-3.53941451,3.88250145,356.69607707
C,-3.23300051,4.04882275,359.51459247
C,-4.32127721,3.32939995,358.96095257
C,-3.68853561,3.79217895,355.28682257
C,-4.45254241,3.21466395,357.55170047
C,-5.31109131,2.23241795,356.99806047
C,-5.10527731,2.51383035,359.81657587
C,-5.78119981,1.39801485,359.26293597
C,-5.40724161,2.08698635,355.58880597
C,-5.85076751,1.23815465,357.85368377
C,-6.20661061,-0.01695045,357.30004387
C,-6.14096201,0.32545665,360.11855927
C,-6.27459591,-0.97225575,359.56491937
C,-6.23130931,-0.18953375,355.89078937
C,-6.24160811,-1.49406965,355.33715327
C,-6.26909201,-1.14651015,358.15566717
C,-6.05383121,-2.43320275,357.60202727
C,-5.70661901,-3.32576895,359.86690277
C,-6.00230791,-2.59975695,356.19277407
C,-5.45358731,-3.78331915,355.63913617
C,-5.62710211,-3.48092035,358.45765057
C,-4.88211221,-4.55185705,357.90401067
C,-4.18645251,-5.21010335,360.16888617
C,-4.76429321,-4.68036215,356.49475747
C,-3.76201131,-5.51543415,355.94111957
C,-4.04820811,-5.31632655,358.75963397
C,-2.91670061,-5.96563855,358.20599407
C,-2.75523421,-6.03139185,356.79674087
C,-1.49206231,-6.35744575,356.24310297
C,-1.83592481,-6.29990425,359.06161737
C,-0.53541211,-6.40277275,358.50797747
C,-0.36133741,-6.39313435,357.09872427
C,0.91990169,-6.14749175,356.54508637
C,0.58447509,-6.24257805,359.36360077
C,1.80399259,-5.77922855,358.80996087
C,1.95721579,-5.69605505,357.40070817
C,3.01021189,-4.92591965,356.84706867
C,2.74771249,-5.15536765,359.66558417
C,3.65180409,-4.21487105,359.11194427
C,3.13590499,-4.80510365,355.43781427
C,3.75472369,-4.07414985,357.70269217
C,4.37705889,-2.92758445,357.14905217
C,4.23794299,-3.24727035,359.96756757
C,4.65281289,-2.01042015,359.41392767
C,4.43898859,-2.76461215,355.73979767
C,4.68564349,-1.83919785,358.00467547
C,4.75768469,-0.53661455,357.45103557
C,4.76869609,-0.88508425,360.26955097
C,4.68564309,0.06902935,362.53442637
