Element,X,Y,Z
C,0.90525731,4.73119647,10.17957193
C,-3.62051525,3.13338170,10.18770681
C,-4.51670964,-1.58826741,10.15753073
C,-0.89008275,-4.75431201,10.14400116
C,3.64827618,-3.14773491,10.18804211
C,4.78854158,0.01976170,10.20597362
C,4.52217283,1.58020348,10.20682781
C,3.69540513,2.06042040,11.25676072
C,2.69762825,3.28918998,11.25579609
C,2.38724493,4.17514439,10.18978823
C,0.70281968,3.88590171,12.42796195
C,0.08011228,4.27662471,11.24083776
C,-1.47775973,3.99885872,11.23706727
C,-2.41397718,4.15776479,10.18316797
C,-2.92837638,2.51475543,12.41841648
C,-3.61042536,2.17959924,11.24088684
C,-4.15378214,0.69101065,11.22703036
C,-4.77584060,-0.02519709,10.16917951
C,-3.63247037,-1.33456597,12.38674867
C,-3.69558983,-2.07931010,11.20710064
C,-2.69374997,-3.30593059,11.19995921
C,-2.37581991,-4.20043185,10.14229287
C,-0.69450816,-3.87165262,12.37658801
C,-0.06774562,-4.28495441,11.20307370
C,1.49242636,-4.01005945,11.21595210
C,2.43993792,-4.17195972,10.17147620
C,2.94406289,-2.53335618,12.41117402
C,3.62946056,-2.19739295,11.24450794
C,4.16421818,-0.70823684,11.25300236
C,3.84451919,-0.02014760,12.42555226
C,3.62389763,1.30621268,12.42701441
C,3.16080980,1.84569091,13.62453069
C,2.35922066,2.88505605,13.61428697
C,1.95377937,3.40221661,12.43415259
C,0.66192450,3.77717485,14.79150595
C,0.05207747,3.80352469,13.60300694
C,-1.22248542,3.53577638,13.61285382
C,-1.91452885,3.39580084,12.41446021
C,-2.69340595,2.34930276,14.81546001
C,-3.12452195,1.86559874,13.58670877
C,-3.57568463,0.63436326,13.58909218
C,-3.84664464,-0.00932141,12.39012445
C,-3.38281203,-1.27925249,14.75136978
C,-3.19387474,-1.85692156,13.55104869
C,-2.37239189,-2.87779919,13.54312373
C,-1.95224145,-3.40151983,12.37537529
C,-0.64691447,-3.65545616,14.72841905
C,-0.03730478,-3.75265608,13.54430538
C,1.24884130,-3.51955801,13.55508752
C,1.92348105,-3.40529625,12.39791026
C,2.73639595,-2.36577616,14.76727202
C,3.14292993,-1.88913685,13.58058502
C,3.57892930,-0.65528220,13.58421044
C,3.54933223,-0.01853535,14.81284208
C,3.33625670,1.25107762,14.81162561
C,3.11993403,1.86347698,16.03064973
C,2.34914117,2.93352560,16.00776000
C,1.83830957,3.25295955,14.79866140
C,0.87949110,4.48323944,17.09685901
C,0.11492221,4.01961734,15.98683123
C,-1.15913589,3.60011789,16.02610881
C,-1.72631846,3.21656149,14.81054058
C,-2.84364187,2.45201254,17.17484191
C,-3.07942795,1.84070918,15.99355326
C,-3.54561119,0.60609607,15.96348776
C,-3.56988175,0.00176132,14.76762784
C,-3.61779682,-1.39783317,17.11319342
C,-3.19156511,-1.88990418,15.93473557
C,-2.37840334,-2.91316279,15.91859528
C,-1.84717935,-3.20567924,14.72847811
C,-0.71790981,-3.93915270,17.07339877
C,-0.05090113,-3.78418396,15.91775779
C,1.23138463,-3.54343160,15.93062328
C,1.76684102,-3.21041065,14.75130663
C,2.88845767,-2.55642375,17.12500555
C,3.10972597,-1.89279769,15.97115248
C,3.53591515,-0.64714173,15.99567936
C,3.75449220,-0.01784689,17.17575847
C,3.53364595,1.32020247,17.19269012
C,3.58389519,2.06430281,18.37807843
C,2.65301754,3.34996218,18.37879630
C,1.97679464,3.60360236,17.17672072
C,0.86276780,4.72725104,19.47301904
C,0.12774283,4.41899011,18.30267887
C,-1.37655897,3.94842551,18.32527320
C,-1.80462778,3.39559307,17.18679175
C,-3.43897091,2.93277659,19.45618830
C,-3.48960676,2.05529758,18.35676245
C,-4.07493329,0.59107176,18.33211145
C,-3.80482698,-0.07281170,17.14638173
C,-4.49563317,-1.70130171,19.33993026
C,-3.69232960,-2.17330075,18.27293333
C,-2.71568292,-3.41129946,18.24703480
C,-1.97048278,-3.47193345,17.07471233
C,-0.93586878,-4.89460878,19.27516583
C,-0.10698115,-4.38165123,18.24356469
C,1.44386326,-4.08172812,18.26290633
C,1.88380604,-3.44494243,17.10189384
C,3.55183339,-3.19644450,19.35317098
C,3.53553152,-2.22752731,18.31349264
C,4.03760181,-0.72913210,18.34727948
C,4.60617066,-0.02050157,19.43477643
C,4.34795185,1.53811000,19.45436829
C,2.34039925,4.17706174,19.48631256
C,-2.25327744,3.96603647,19.44741247
C,-4.70556187,-0.13554955,19.37724648
C,-2.41967857,-4.34280774,19.27705367
C,2.37092900,-4.24891149,19.32215338
H,0.54002327,5.36877215,9.40170686
H,-4.36875467,3.13219575,9.42283819
H,-4.89904686,-2.22314474,9.38576152
H,-0.52129833,-5.40095663,9.37541374
H,4.40272826,-3.14468534,9.42929552
H,5.36482173,-0.45873295,9.44192099
H,4.90505871,2.22297748,9.44190028
H,3.09158941,4.41500728,9.42081685
H,-2.29079789,4.89043543,9.41314832
