Element,X,Y,Z
C,-4.56819773,-1.05900221,0.15390593
C,-4.29420973,-2.46790721,3.59146693
C,-4.54349073,-1.32183421,4.36437393
C,-4.54617673,-1.14264321,1.56116493
C,-4.55917473,0.03113579,2.33647693
C,-4.34841173,1.33852879,0.28340993
C,-4.51734873,-0.05818221,3.74742493
C,-4.19591673,1.08044179,4.50120693
C,-4.29241573,1.25726379,1.69500293
C,-3.70637273,2.29806279,2.44379693
C,-2.97614673,3.34532879,0.35907793
C,-3.65045873,2.20269479,3.85476993
C,-2.83129873,3.08217079,4.57650993
C,-2.93734173,3.27162779,1.77015793
C,-1.93747873,3.96606679,2.48640593
C,-0.90801873,4.64348579,0.36968893
C,-1.87659273,3.85296979,3.89593693
C,-0.72973073,4.28216279,4.57932893
C,-0.85608773,4.53899579,1.77903293
C,0.36760127,4.74249279,2.45343593
C,0.43556127,4.57418979,3.85668293
C,1.68454527,4.43137979,4.48117593
C,1.55718127,4.82965479,1.69946893
C,2.77277427,4.44116579,2.30392893
C,2.82290227,4.19815179,3.69598393
C,3.89953027,3.47604179,4.23681093
C,3.82763727,4.00212179,1.47839193
C,4.74240327,3.05959979,1.99057893
C,4.76022827,2.77715979,3.37518293
C,5.43111827,1.63500179,3.83980393
C,5.40909327,2.20350979,1.08903493
C,5.84254927,0.94046379,1.54304093
C,5.83666527,0.65109879,2.92189293
C,5.99426927,-0.67337821,3.34952993
C,6.01290627,-0.10013921,0.60859293
C,5.88755227,-1.44116821,1.04201693
C,5.86119627,-1.74307121,2.42690993
C,5.50414727,-3.05425421,2.86364493
C,5.53362227,-2.42165621,0.09699093
C,4.91588027,-3.60696421,0.54420993
C,5.54530627,-3.31433921,4.24123293
C,4.93360127,-3.97161621,1.91771493
C,4.21787927,-5.15388521,2.28243893
C,4.09445227,-4.31141021,-0.35827207
C,3.05124827,-5.09991921,0.16082593
C,4.73138627,-6.00957921,3.25573093
C,3.07290727,-5.50381521,1.50875193
C,1.86576127,-6.01969221,2.06192793
C,1.90480327,-5.31909221,-0.62572607
C,0.65969727,-5.49743021,0.01895593
C,1.88026127,-6.84292521,3.18740593
C,0.63043127,-5.69383021,1.41728093
C,-0.55597373,-5.33962321,2.13672893
C,-0.52179273,-5.21064521,-0.69655607
C,-1.69480673,-4.84787921,0.00743893
C,-0.45554573,-5.02323021,3.49957993
C,-1.75152973,-4.95799921,1.43104293
C,-2.89348373,-4.38935721,2.09628493
C,-2.68814273,-4.10687621,-0.69109007
C,-3.55330073,-3.26533321,0.03357993
C,-3.22773373,-4.63782621,3.44790993
C,-3.92148173,-3.67495221,4.19568993
C,-3.62233473,-3.38225021,1.43023793
C,-4.23917973,-2.36385021,2.18692593
C,-4.17246273,-2.16725821,-0.61182407
C,-4.61291773,-0.89069721,-2.64954707
C,-5.03826573,0.29452179,-1.89342507
C,-4.69307673,0.41614579,-4.70007607
C,-4.44752373,1.56914979,-3.94444607
C,-4.69513073,0.19725079,-0.47611107
C,-4.46365273,1.48621079,-2.52577007
C,-3.81421673,2.50236579,-1.77851707
C,-3.89251573,2.68396279,-4.58414507
C,-3.08866673,3.56743679,-3.85732607
C,-3.79086773,2.44672079,-0.37357407
C,-3.04018173,3.47647479,-2.45004007
C,-2.06437873,4.20620079,-1.73420807
C,-2.17208473,4.38176579,-4.53423307
C,-1.07068773,4.90798279,-3.84618907
C,-2.02600373,4.13453879,-0.32805207
C,-1.00648873,4.82164979,-2.43986407
C,0.19841227,5.13976379,-1.76377207
C,0.04241627,5.34778679,-4.56096107
C,1.26894327,5.51079079,-3.91700307
C,0.24906627,5.02187779,-0.35561207
C,1.49627327,5.01637079,0.29866893
C,1.38976927,5.36930379,-2.51279707
C,2.65482627,5.20422679,-1.86027607
C,4.33662927,5.92050079,-3.49974707
C,2.67205627,4.91497679,-0.47328807
C,3.79282027,4.26584779,0.09260693
C,3.86663327,4.99333679,-2.57011807
C,4.70989227,3.93094479,-2.14943107
C,5.22590927,3.30945379,-4.43973007
C,4.69921827,3.61168379,-0.77277707
C,5.39744927,2.48881779,-0.29421607
C,5.38011127,3.06563579,-3.06836807
C,5.94065727,1.83557979,-2.59039407
C,7.33989427,1.07712279,-4.43799407
C,5.86850727,1.53283079,-1.21104107
C,6.04634627,0.20067779,-0.77164107
C,6.39661827,0.80159879,-3.44937307
C,6.08555727,-0.54237521,-3.10560707
C,5.77756027,-1.31588321,-5.44564207
C,5.96850427,-0.83871921,-1.72291007
C,5.56957327,-2.11806121,-1.29008407
C,5.69610227,-1.53424221,-4.06339807
C,5.01964227,-2.70309021,-3.60649407
C,4.97740727,-2.99402121,-2.21985107
C,4.12628327,-4.01110021,-1.73567907
C,4.21259327,-3.47612521,-4.48133807
C,3.18379427,-4.27836121,-3.96681107
C,3.13386627,-4.53934321,-2.58449507
C,1.96107327,-5.07789421,-2.01139307
C,2.08478527,-4.61275621,-4.77490807
C,0.84926627,-4.90553721,-4.17278807
C,0.78147527,-5.11179021,-2.77519807
C,-0.46339973,-5.06164321,-2.10767307
C,-0.33260773,-4.73238421,-4.90431707
C,-1.52374973,-4.44097121,-4.22436007
C,-1.58429073,-4.58386921,-2.81687207
C,-2.63756273,-3.98653421,-2.09841007
C,-2.54724273,-3.76170321,-4.89950007
C,-3.44150473,-2.96548321,-4.17088507
C,-3.47061973,-3.05497621,-2.76250807
C,-4.14028373,-2.06461121,-2.00991607
C,-4.11378873,-1.92065521,-4.81514907
