Element,X,Y,Z
C,1.11974623,-3.53621461,2.29394357
C,-1.31196377,-3.07322161,5.11961857
C,-2.41561577,-3.85445561,4.63720757
C,-0.05675777,-3.63792461,3.07817957
C,-1.20670577,-4.23265161,2.53279357
C,-3.61525277,-3.84536061,5.35622557
C,-0.08637177,-4.37556061,0.36494757
C,-2.37342777,-4.39258361,3.31218357
C,-3.51542877,-4.89200861,2.63929957
C,-1.26265577,-4.44895761,1.13537957
C,-2.52621077,-4.44069661,0.49683857
C,-4.29646977,-5.88980461,3.21846557
C,-1.42036177,-4.06904261,-1.64217943
C,-3.69270777,-4.54817861,1.27585857
C,-4.93812677,-4.08484361,0.74984957
C,-2.60363677,-4.08629561,-0.86186443
C,-3.79723677,-3.51562661,-1.36154043
C,-6.02033177,-3.91835561,1.62098957
C,-2.52827177,-2.71171961,-3.31327543
C,-4.99444277,-3.51999961,-0.57577343
C,-6.09071777,-2.70211261,-1.03314343
C,-3.69896077,-2.69563061,-2.51598643
C,-4.63626377,-1.66268761,-2.69565243
C,-7.41050777,-2.76752261,-0.52452243
C,-8.23483277,-1.63272861,-0.54150843
C,-5.80338277,-1.63823461,-1.91738343
C,-6.59135277,-0.46618061,-1.87456943
C,-4.29465677,-0.54128961,-3.48110543
C,-4.94616577,0.68751439,-3.24689143
C,-7.76130777,-0.43712661,-1.09351043
C,-8.34506977,0.79553139,-0.76025243
C,-6.07903977,0.72803239,-2.41347843
C,-6.54962477,1.96037739,-1.92000743
C,-4.31362577,1.88725639,-3.62900343
C,-4.63732277,3.08018739,-2.94873943
C,-7.66147577,1.98675139,-1.05131343
C,-7.93251077,3.14478039,-0.31162543
C,-5.74568077,3.10891339,-2.07417043
C,-5.88842377,4.16657739,-1.15463243
C,-3.69679977,4.13224339,-2.92899143
C,-3.71089077,5.04049439,-1.84826743
C,-6.97468277,4.16605439,-0.25239643
C,-6.95540577,5.01970839,0.85604057
C,-4.80126277,5.04342439,-0.94846943
C,-4.68122277,5.69165439,0.29856057
C,-2.51885077,5.72067839,-1.51245543
C,-2.32164877,6.13247539,-0.17520743
C,-5.75932577,5.65659839,1.21168057
C,-5.54643077,6.00191339,2.55192657
C,-3.40153177,6.09804639,0.73660657
C,-3.15326377,6.17354739,2.12492757
C,-1.00112877,6.28780139,0.30427557
C,-0.74829377,6.09831639,1.68207257
C,-4.23278877,6.09828239,3.03591357
C,-3.98119477,5.83966339,4.39134557
C,-1.82867977,6.01868339,2.59065957
C,-1.62179377,5.49716039,3.88760057
C,0.54446023,5.70073139,2.09091257
C,0.68356823,4.95162839,3.28091357
C,-2.71213677,5.38116439,4.78183957
C,-2.58897677,4.57874039,5.92837357
C,-0.40905977,4.83199339,4.16990857
C,-0.39587277,3.83670339,5.17261757
C,1.80248223,4.10339939,3.42689357
C,1.69339223,2.96546039,4.25555557
C,-1.50385177,3.69386539,6.04047557
C,-1.62696377,2.53413839,6.82740457
C,0.58417723,2.82429239,5.11643457
C,0.30881223,1.57259139,5.70814457
C,2.53863923,1.86191339,4.01799057
C,2.11325823,0.57393639,4.40761257
C,-0.80813777,1.42411839,6.55945257
C,-1.22264277,0.13532339,6.94098057
C,0.98675523,0.42967339,5.23908557
C,0.38823323,-0.83757461,5.39763357
C,2.65462223,-0.55633061,3.76178957
C,1.91108723,-1.75394861,3.72835357
C,-0.71513677,-0.99450461,6.25936357
C,-1.39532177,-2.23184261,6.27781657
C,0.76127523,-1.88869061,4.53735757
C,-0.16458977,-2.92854461,4.29124157
C,-2.10238377,-2.58360661,7.43051057
C,2.16430823,-2.68668661,2.70027057
C,5.72994723,-3.52090361,-2.26073243
C,3.47954023,-3.34223761,0.72404157
C,2.32240623,-3.96494561,0.20175557
C,4.65363423,-3.77012561,-1.40260943
C,3.43559523,-4.27957761,-1.95041743
C,1.14089323,-4.04817361,0.98038357
C,4.10587323,-5.49708561,-3.95536843
C,2.26469623,-4.26859961,-1.16994443
C,1.00277623,-4.32117761,-1.81012843
C,3.27568723,-4.56980561,-3.32850543
C,2.10774323,-4.10301861,-3.97843643
C,-0.17513177,-4.34861961,-1.03911443
C,3.32011423,-3.37840261,-5.98291243
C,0.93321923,-4.04923261,-3.19695743
C,-0.25198177,-3.50707461,-3.72151043
C,2.11820323,-3.50895461,-5.27913043
C,0.96306423,-2.79355461,-5.74088643
C,-1.43184177,-3.50763861,-2.93566643
C,1.71561823,-2.18607961,-8.03484743
C,-0.19111577,-2.75201961,-4.91027343
C,-1.18242277,-1.76666561,-5.12346543
C,0.98936023,-1.91415661,-6.87253943
C,0.22958323,-0.72542861,-6.81696343
C,-2.33663877,-1.73163861,-4.31029843
C,-3.15480677,-0.58322761,-4.30485843
C,-0.87936577,-0.66692061,-5.95002443
C,-1.55616577,0.55409839,-5.74966643
C,0.66328523,0.45583539,-7.46114143
C,0.17045723,1.70264739,-7.03564743
C,-2.68738177,0.59951139,-4.91340643
C,-3.19165077,1.84448439,-4.48063943
C,-0.95177877,1.75229739,-6.17974243
C,-1.30244977,2.96324039,-5.54462843
C,0.91931323,2.86950339,-7.26393943
C,0.72749423,3.99053639,-6.43569943
C,-2.41670977,3.00572639,-4.67971443
C,-2.59385077,4.10479339,-3.81130943
C,-0.38582377,4.03471339,-5.56400343
C,-0.43128677,4.99185339,-4.52569343
C,1.75768323,4.93429039,-6.29016943
