Element,X,Y,Z
C,-5.35339660,-0.47432536,0.20048325
C,-5.40100560,-0.38081936,-1.28546475
C,-4.92448260,-1.71139636,0.76562325
C,-4.90774260,-1.52588936,-2.02891875
C,-4.85414960,0.82325164,-1.87623075
Ti,-7.51804460,-0.29534936,-1.65211875
C,-4.78089660,0.61771364,0.92389025
C,-4.34568360,-2.73437836,-0.00703075
C,-4.92806460,-1.84475336,2.17414525
C,-4.32280560,-2.63332336,-1.39724475
C,-4.90276060,-1.45430436,-3.44574975
C,-4.18050360,1.79391264,-1.11801675
C,-4.87993360,0.93917664,-3.29107375
C,-4.14185660,1.69233064,0.27755125
C,-4.73728060,0.54339864,2.34265725
C,-3.64899360,-3.78774636,0.63048525
C,-5.00907360,-0.68920636,2.97141125
C,-4.49690760,-3.03872436,2.77824725
C,-3.57861160,-3.56322236,-2.15607775
C,-4.33753660,-2.49411836,-4.20219675
C,-5.13085560,-0.21144836,-4.05715975
C,-3.41540260,2.78347464,-1.77673775
C,-4.31931160,2.06212664,-3.91699575
C,-3.32452460,2.57713264,1.02322525
C,-4.10058660,1.54984964,3.09850125
C,-2.72952060,-4.56426236,-0.09530475
C,-3.74779460,-3.95473536,2.01684425
C,-4.94834260,-0.80239936,4.38112625
C,-4.56808060,-3.18706536,4.17860225
C,-2.68657160,-4.43772436,-1.49809175
C,-3.56379360,-3.47134536,-3.56297775
H,-4.29331460,-2.41083436,-5.28080375
H,-5.12604560,-0.14410436,-5.13768375
C,-2.43994060,3.50157964,-1.05396175
C,-3.48698060,2.91542864,-3.18116975
H,-4.33031860,2.13285364,-4.99834275
C,-2.39021260,3.39440964,0.34849025
C,-3.29934060,2.50068664,2.43274725
C,-4.04491860,1.44085064,4.50954325
C,-1.70794660,-5.26217236,0.59891325
C,-2.94760960,-4.90974236,2.67380625
C,-4.61751060,0.32619864,5.14697425
C,-4.91526860,-2.07977636,4.97322525
C,-4.10296460,-4.37834436,4.75614225
C,-1.61115660,-4.98180136,-2.21798275
