Element,X,Y,Z
C,4.51827881,0.97105153,114.58326074
C,4.66346191,-0.01681987,110.96181574
C,4.44657201,1.23414303,110.33199914
C,4.49588331,1.05915473,113.16617354
C,4.02769241,2.23930163,112.53635704
C,3.41206241,3.13752423,114.74071484
C,3.98359801,2.31879643,111.11926984
C,3.23029511,3.34079643,110.48945334
C,3.35263961,3.20631853,113.32362764
C,2.40621251,4.05261933,112.69381114
C,1.45394971,4.58082353,114.89816894
C,2.33122901,4.10401203,111.27672394
C,1.20047941,4.68138093,110.64690744
C,1.37003921,4.61579153,113.48108174
C,0.14509661,4.94965503,112.85126524
C,-0.94284689,4.99637603,115.05562314
C,0.05504751,4.96210053,111.43417804
C,-1.21453139,4.97299833,110.80436154
C,-1.03353779,4.99013863,113.63853594
C,-2.27850149,4.74111103,113.00871944
C,-2.36461349,4.71198293,111.59163224
C,-3.50510779,4.15411003,110.96181574
C,-3.35087459,4.25036293,113.79599004
C,-4.35313989,3.47099543,113.16617354
C,-4.41714299,3.40644053,111.74908634
C,-5.18787889,2.39752253,111.11926984
C,-5.09295339,2.55257613,113.95344414
C,-5.64101629,1.40733543,113.32362764
C,-5.66940419,1.32097653,111.90654044
C,-5.90773649,0.07392113,111.27672394
C,-5.89215039,0.25505523,114.11089834
C,-5.87035559,-1.01438337,113.48108174
C,-5.85713769,-1.10432227,112.06399464
C,-5.51277209,-2.32635407,111.43417804
C,-5.57981449,-2.15736357,114.26835244
C,-4.99276119,-3.28311567,113.63853594
C,-4.94072679,-3.35765527,112.22144874
C,-4.08633339,-4.29678317,111.59163224
C,-4.22185659,-4.17559757,114.42580654
C,-3.19342819,-4.92010037,113.79599004
C,-4.01703159,-4.35561337,110.17454504
C,-3.11355789,-4.96351077,112.37890284
C,-1.92943579,-5.42155467,111.74908634
C,-2.10484089,-5.37374727,114.58326074
C,-0.85206239,-5.57989147,113.95344414
C,-1.84114359,-5.44319307,110.33199914
C,-0.76121089,-5.58301197,112.53635704
C,0.50275961,-5.46331267,111.90654044
C,0.32448761,-5.49897207,114.74071484
C,1.53724761,-5.12325597,114.11089834
C,0.59141021,-5.44319307,110.48945334
C,1.61990831,-5.08542807,112.69381114
C,2.69699671,-4.41324527,112.06399464
C,2.55347781,-4.52484637,114.89816894
C,3.47029561,-3.64655567,114.26835244
C,2.76729821,-4.35561337,110.64690744
C,3.52732191,-3.57576207,112.85126524
C,4.19023481,-2.49294367,112.22144874
C,4.11175521,-2.65693587,115.05562314
C,4.53915861,-1.46141267,114.42580654
C,4.22735181,-2.40996137,110.80436154
C,4.59264441,-1.19402107,110.17454504
C,4.55851651,-1.37259257,113.00871944
C,4.66736211,-0.10764117,112.37890284
C,4.67048301,-0.28941787,115.21307724
C,4.55851651,0.79375683,117.41743504
C,4.22735181,1.83112563,119.62179284
C,3.58312451,2.92516433,118.99197634
C,4.11175521,2.07810013,115.37053134
C,3.52732191,2.99692633,117.57488914
C,2.62571631,3.89082603,116.94507264
C,2.76729821,3.77677763,119.77924704
C,1.70190741,4.46735113,119.14943044
C,2.55347781,3.94601063,115.52798544
C,1.61990831,4.50659233,117.73234334
C,0.41377671,4.90307173,117.10252674
C,0.59141021,4.86435733,119.93670114
C,-0.67031919,5.00573683,119.30688464
C,0.32448761,4.92013633,115.68543964
C,-0.76121089,5.00417623,117.88979744
C,-2.01734349,4.81956803,117.25998094
C,-1.84114359,4.86435733,120.09415524
C,-3.03295419,4.42670803,119.46433874
C,-2.10484089,4.79491153,115.84289374
C,-3.27254159,4.29648953,115.21307724
C,-3.11355789,4.38467503,118.04725154
C,-4.15461509,3.65793623,117.41743504
C,-4.88742049,2.85245483,119.62179284
C,-4.22185659,3.59676183,116.00034784
C,-5.04350839,2.62885803,115.37053134
C,-4.94072679,2.77881953,118.20470574
C,-5.54701859,1.66331083,117.57488914
C,-5.84237779,0.61518533,119.77924704
C,-5.57981449,1.57852783,116.15780204
C,-5.88202769,0.34539493,115.52798544
C,-5.85713769,0.52548653,118.36215984
C,-5.90072089,-0.74339087,117.73234334
C,-5.69630539,-1.81297877,119.93670114
C,-5.89215039,-0.83389097,116.31525614
C,-5.61115019,-2.07203007,115.68543964
C,-5.66940419,-1.89981227,118.51961394
C,-5.14108159,-3.05429247,117.88979744
C,-4.48002849,-3.91963217,120.09415524
C,-5.09295339,-3.13141187,116.47271024
C,-4.28803799,-4.11327777,115.84289374
C,-4.41714299,-3.98527627,118.67706814
C,-3.42840429,-4.78173417,118.04725154
C,-3.35087459,-4.82919867,116.63016444
C,-2.19190209,-5.34759237,116.00034784
C,-2.36461349,-5.29081867,118.83452224
C,-1.12410809,-5.56118097,118.20470574
C,-1.03353779,-5.56897437,116.78761854
C,0.23491881,-5.51450137,116.15780204
C,0.05504751,-5.54093627,118.99197634
C,1.28554081,-5.22814967,118.36215984
C,1.37003921,-5.19462727,116.94507264
C,2.48030271,-4.57878277,116.31525614
C,2.33122901,-4.68284777,119.14943044
C,3.29204451,-3.85291827,118.51961394
C,3.35263961,-3.78515427,117.10252674
C,4.07041571,-2.73789747,116.47271024
C,3.98359801,-2.89763217,119.30688464
C,4.47197871,-1.72569627,118.67706814
C,4.49588331,-1.63799047,117.25998094
C,4.66970281,-0.38031957,116.63016444
C,4.66346191,-0.56201587,119.46433874
C,4.57634681,0.70461763,118.83452224
H,4.63353011,1.36049373,109.25539234
H,3.34103611,3.53740333,109.41284654
H,1.21163411,4.90675483,109.57030064
H,-1.30531699,5.17957953,109.72775474
H,-3.67867549,4.29830463,109.88520894
H,-5.40760149,2.44890163,110.04266304
H,-6.12724679,0.02164253,110.20011714
H,-5.68574779,-2.47125837,110.35757134
H,-3.96334709,-4.40118607,109.07680144
H,-1.77274829,-5.45995527,109.23425554
H,0.66008321,-5.42760747,109.39170964
H,2.82175711,-4.31096897,109.54916384
H,3.97279571,-3.28876317,110.19369914
H,4.81636661,-1.16458987,109.09793824
H,4.45164921,1.85579363,120.69839964
H,2.95690041,3.89912483,120.85585384
H,0.70630631,5.05856533,121.01330794
H,-1.82519979,5.08944323,121.17076204
H,-3.89488429,4.11984013,120.07500124
H,-4.84612679,2.90949633,120.71953654
H,-5.83094399,0.68467033,120.87699064
H,-5.71714439,-1.74571337,121.03444484
H,-4.52874269,-3.86878117,121.19189894
H,-2.49886929,-5.47218357,119.91112904
H,0.01604461,-5.76318977,120.06858314
H,2.39570961,-4.89908867,120.22603724
H,4.13795501,-3.06222787,120.38349144
H,4.87512191,-0.64023267,120.54094554
Ti,4.15169891,1.99644083,116.78761854
H,7.01478410,3.61195087,117.02212033
H,7.26660624,2.91878681,117.08302343
