Element,X,Y,Z
C,2.73194587,1.46857760,266.97874678
C,2.89222067,1.78932700,263.29980528
C,2.25043427,3.09073410,263.15114608
C,2.47463827,1.88034580,265.67522778
C,1.66509587,2.93375210,265.51399068
C,1.34865157,3.40478720,264.23479578
C,0.02900487,4.00574670,264.12579278
C,1.05161607,3.29582920,266.68946108
C,-0.21786323,3.67796040,266.56274318
C,-0.60036143,4.57968360,262.98194778
C,-2.04729083,4.42997950,262.86928568
C,-0.74693483,3.84026430,265.28125418
C,-2.09509443,3.64666440,265.15215378
C,-2.71440783,3.69458290,263.89773828
C,-3.91078443,2.86609910,263.76463548
C,-2.73800483,3.23376640,266.30281518
C,-3.77937053,2.42606740,266.16257168
C,-4.72345253,2.65536780,262.61247508
C,-5.42142123,1.37955890,262.49273038
C,-4.20422403,2.09730690,264.88826058
C,-4.79875973,0.87058810,264.74625818
C,-5.22059093,0.39903020,263.51625778
C,-5.32170743,-1.05211050,263.36382998
C,-4.79501563,0.09517370,265.87603438
C,-4.66595273,-1.22596160,265.71260588
C,-4.68059143,-1.79391100,264.42864828
C,-3.86733783,-3.00000710,264.30591158
C,-4.31680363,-1.86957940,266.87098268
C,-3.48355763,-2.87435380,266.73436168
C,-3.62143553,-3.81817120,263.16196428
C,-2.28986083,-4.41451810,263.04993598
C,-3.12169303,-3.26500780,265.45593918
C,-1.86462433,-3.76502810,265.33101668
C,-1.34841513,-4.09511620,264.07921468
C,0.09646807,-3.92475140,263.95537578
C,-1.11920873,-3.72059120,266.49191788
C,0.17028397,-3.48229540,266.36446148
C,0.92071097,-4.11060140,262.80597078
C,2.10136237,-3.26257240,262.68138008
C,0.69904647,-3.37901000,265.09158678
C,1.77201167,-2.54639560,264.95971148
C,2.32749717,-2.29123860,263.70527218
C,2.96210887,-0.98813110,263.56513948
C,2.12851707,-1.86440490,266.11243578
C,2.64517647,-0.64502300,265.97152858
C,3.55165307,-0.41818370,262.40013328
C,3.52761817,1.03160230,262.26793908
C,2.85761887,-0.16676390,264.68877628
C,2.79483667,1.18718770,264.54124728
C,2.76132817,0.12455340,267.12497088
C,2.95415057,0.35794190,269.48417038
C,2.80984047,1.74275660,269.32252818
C,3.58508567,0.63829930,271.79486148
C,3.20464467,2.02409540,271.69353948
C,2.78328597,2.39815140,268.03873768
C,1.59355987,3.07633890,267.96140378
C,2.54740027,2.41970120,270.50689988
C,1.47537887,3.37058820,270.39253378
C,0.89925607,3.43813480,269.12234058
C,-0.43308293,3.75958630,268.99683808
C,0.87148397,4.11508780,271.44494798
C,-0.53928363,4.43479970,271.31544718
C,-0.96686813,3.68999740,267.72342978
C,-2.26416073,3.43077840,267.58868498
C,-1.21547203,3.99847450,270.13768218
C,-2.62200513,3.64817740,270.00118368
C,-2.99189783,3.18482340,268.74075938
C,-4.01662213,2.29691230,268.60036928
C,-3.61322403,3.60667430,271.03201838
C,-4.67877473,2.61989620,270.89971658
C,-4.22554273,1.82100960,267.31635108
C,-4.70365453,0.60248890,267.16817148
C,-4.65260783,1.79244850,269.74093468
C,-5.06078423,0.40270050,269.60456388
C,-4.85610373,-0.12425450,268.32171368
C,-4.57550173,-1.41786480,268.15998818
C,-5.46511273,-0.49963790,270.66217248
C,-4.91754523,-1.84405840,270.51766098
C,-4.35391113,-2.15210250,269.29569848
C,-3.39752013,-3.11452830,269.16751498
C,-4.81404513,-2.84069320,271.54088848
C,-3.73114753,-3.81336360,271.43902578
C,-2.88215523,-3.28797530,267.89925288
C,-1.63516563,-3.68504840,267.77291198
C,-2.87720683,-3.72801200,270.30239368
C,-1.46404573,-4.07007120,270.18554128
C,-0.90377383,-3.81480290,268.93329998
C,0.40903807,-3.48185250,268.80745938
C,-0.57647993,-4.49198600,271.22115048
C,0.81956787,-4.07701010,271.10659898
C,0.82797227,-3.14657360,267.53022888
C,1.81063337,-2.27392610,267.39561618
C,1.18595847,-3.31816040,269.95210878
C,2.18581147,-2.26263420,269.82635268
C,2.29402087,-1.69055300,268.54655178
C,2.73191387,-0.41039780,268.38561838
C,2.93313197,-1.65545330,270.89351128
C,3.18827037,-0.22927190,270.73536508
H,2.37456657,3.71079100,262.28797218
H,-0.03089693,5.06232890,262.21537298
H,-2.58043183,4.81612460,262.02575238
H,-4.79055273,3.39393910,261.84115688
H,-6.03412703,1.16801840,261.64139428
H,-5.76017023,-1.51853070,262.50643898
H,-4.35950193,-3.95272310,262.39902038
H,-2.01908373,-5.02097820,262.21100508
H,0.66156527,-4.81501040,262.04337428
H,2.74784487,-3.33543100,261.83186108
H,3.96369277,-1.03557370,261.62945548
H,3.93707287,1.51153760,261.40369628
H,4.10356037,0.26682660,272.65402468
H,3.37235827,2.70942080,272.49795048
H,1.42354587,4.39028010,272.31925638
H,-1.06241543,4.94603010,272.09642128
H,-3.55089503,4.24307550,271.88993428
H,-5.41986983,2.49422970,271.66122228
H,-6.04286123,-0.19194250,271.50859508
H,-5.48227493,-2.84625430,272.37657208
H,-3.56220443,-4.53712400,272.20878788
H,-0.92594723,-5.04548690,272.06757898
H,1.52852657,-4.29620420,271.87747438
H,3.22008777,-2.19380100,271.77259808
C,3.99079067,3.33566750,267.85279438
H,4.08941437,3.90938090,266.95500998
O,4.86150177,3.42702280,268.75674798
H,7.97602620,3.76830691,268.00645038
H,8.38595297,3.20347344,267.76043575
