Element,X,Y,Z
C,5.46505135,0.68638453,355.04983916
C,4.30716529,-0.06470398,351.55571107
C,3.91302978,1.22473968,351.11934323
C,4.95274606,0.86712978,353.73786666
C,4.35270171,2.09878059,353.37536468
C,4.65243494,2.89855748,355.68131527
C,3.79906550,2.26374415,352.07818636
C,2.90728339,3.33442061,351.81972688
C,4.07475414,3.04730280,354.39268921
C,3.01987788,3.97216442,354.19196148
C,2.41114260,4.08786667,352.91428702
C,1.15701536,4.73473286,352.78331605
C,2.41173983,4.56935162,355.32573130
C,1.06868489,5.01041144,355.22526003
C,0.42990677,5.05658483,353.95788957
C,-0.98161002,5.15606780,353.87947997
C,0.30309457,5.14026608,356.41223424
C,-1.10608848,5.01351368,356.33122929
C,-1.74407810,4.98325671,355.06298203
C,-3.07777327,4.51700827,354.95210259
C,-1.82612550,4.64987476,357.49793921
C,-3.06667410,3.98045173,357.35186825
C,-3.70005227,4.44323976,353.67784802
C,-3.67319551,3.88155517,356.07173207
C,-4.70881773,2.93997895,355.84959335
C,-3.54690890,3.19202370,358.42874071
C,-4.41647763,2.10939050,358.14557925
C,-5.28361234,2.80894684,354.55775768
C,-4.96690029,1.96283987,356.84482747
C,-5.54149746,0.72771308,356.45402761
C,-4.50875930,1.04653602,359.08031073
C,-4.87631684,-0.24041449,358.61438754
C,-6.05027600,0.56658030,355.13813314
C,-6.30221904,-0.73232220,354.63039141
C,-5.35679414,-0.40447298,357.28825643
C,-5.39603830,-1.69494338,356.70381581
C,-4.33808957,-2.61767767,358.72277524
C,-5.83295964,-1.85322753,355.36200974
C,-5.55453621,-3.05453747,354.66361195
C,-4.74822063,-2.76573232,357.37137977
C,-4.28069589,-3.86270033,356.60554274
C,-2.88555420,-4.56583515,358.50450889
C,-4.65373200,-3.98573408,355.24095327
C,-3.93459237,-4.85774517,354.38605009
C,-3.23846114,-4.66745066,357.13282075
C,-2.39016899,-5.35926798,356.23270192
C,-2.71957284,-5.42142577,354.85283702
C,-1.73408688,-5.79573352,353.90566439
C,-1.09803399,-5.74447922,356.67304032
C,-0.06817180,-5.89738036,355.71156753
C,-0.38258367,-5.88473912,354.32687162
C,0.64367796,-5.68861377,353.36940283
C,1.28130761,-5.79020116,356.13502540
C,2.25863876,-5.37401805,355.19692091
C,1.92769642,-5.28703346,353.81876700
C,2.76132495,-4.55740107,352.93495447
C,3.46188323,-4.79625059,355.67680206
C,4.16268064,-3.89021133,354.84229592
C,2.40607256,-4.43164990,351.56587457
C,3.78686317,-3.74363015,353.48079948
C,4.23148014,-2.61997406,352.74043652
C,5.04422204,-2.95411979,355.44105810
C,5.29764154,-1.73161891,354.77046518
C,3.81806257,-2.44945168,351.39269556
C,4.85723078,-1.55164452,353.43253957
C,4.79123817,-0.24919209,352.87784390
C,5.74385332,-0.61834937,355.52771305
C,6.47438761,0.32186313,357.67927337
C,5.98550945,1.58975272,357.27693167
C,7.04998580,1.24021434,359.88658149
C,6.36008396,2.43324187,359.55621032
C,5.44599168,1.76162696,355.97471147
C,5.79519248,2.59138418,358.26304134
C,4.82634061,3.59951614,358.03191214
C,6.01297161,3.33094514,360.59810303
C,4.89231498,4.18007459,360.42052900
C,4.22760193,3.72787772,356.75072794
C,3.03570950,4.47922548,356.59810565
C,4.27613850,4.28450018,359.14545284
C,2.97742946,4.83985443,359.02986261
C,2.86991818,5.04270692,361.47816476
C,2.34260436,4.90200239,357.76118915
C,0.94536852,5.12410984,357.67857563
C,2.22894328,5.07531618,360.21148203
C,0.81390283,5.07191146,360.13354681
C,0.70137000,4.85488995,362.58040797
C,0.17306273,5.05787342,358.86645397
C,-1.19705063,4.70881979,358.76962615
C,0.06685014,4.81138877,361.31080583
C,-1.22863300,4.25065519,361.18540323
C,-1.84426044,4.16510398,359.90865689
C,-2.95999927,3.31276444,359.71612415
C,-1.77481001,3.54303015,362.28670072
C,-2.73783035,2.53353453,362.03783318
C,-3.30186399,2.39489034,360.74205494
C,-3.98487528,1.20388792,360.39072425
C,-2.92230446,1.51363700,363.00617039
C,-3.40386628,0.25021268,362.58157418
C,-3.89984317,0.08710183,361.26104430
C,-4.05495815,-1.21283871,360.71834873
C,-3.13534115,-0.88709886,363.38551151
C,-3.07900098,-2.16080501,362.76670387
C,-4.50707141,-1.37457901,359.38199873
C,-3.50354066,-2.31505291,361.42046057
C,-3.13706925,-3.47326521,360.69061971
C,-2.35326143,-3.19810109,363.40640490
C,-1.80597755,-4.23646592,362.61223643
C,-3.52246349,-3.60632793,359.33041264
C,-2.16943236,-4.35022506,361.24426099
C,-1.38795048,-5.14328750,360.36746987
C,0.19019364,-5.57818387,362.20246785
C,-1.72450299,-5.22011924,358.99007125
C,-0.77822890,-5.71081102,358.05614861
C,-0.13427093,-5.62761164,360.82091908
C,0.87586720,-5.90229627,359.86562128
C,2.54549019,-5.92846022,361.67077108
C,0.56089030,-5.90615310,358.48100135
C,1.59849652,-5.83292695,357.51848595
C,2.23042588,-5.90208063,360.28641710
C,3.23891088,-5.60480848,359.33614773
C,2.91409582,-5.53297458,357.95566494
C,3.80744450,-4.90913125,357.04947937
C,4.48979304,-5.12129337,359.79810585
C,5.26663326,-4.30843418,358.93543331
C,4.90245755,-4.17274388,357.56965091
C,5.44368998,-3.11743070,356.79388933
C,6.22921328,-3.43576540,359.50445666
C,6.58894676,-2.26280134,358.79511070
C,6.16345422,-2.08736447,357.45176586
C,6.21239989,-0.80267100,356.85545071
C,7.13401980,-1.16993308,359.51652090
C,6.97136599,0.13842983,358.99675660
H,4.23744705,-0.92125143,350.86907740
H,3.69974057,1.41539426,350.05719512
H,2.60608905,3.57592221,350.78969832
H,0.75580571,4.98216006,351.78942939
H,-1.47571868,5.36336015,352.91881011
H,-4.18209965,4.38609516,352.69074888
H,-5.72887598,2.70744298,353.55703936
H,-6.24937168,1.44856480,354.51166355
H,-6.85125700,-0.86782811,353.68688978
H,-6.02834312,-3.26016960,353.69241563
H,-4.31209656,-5.09247134,353.37987203
H,-2.01272910,-6.01292864,352.86394233
H,0.44745249,-5.84502290,352.29840710
H,2.13087687,-4.33423691,350.50531896
H,3.49780944,-2.31735672,350.34867028
H,7.63504703,1.17075260,360.81549404
H,6.60185648,3.36792338,361.52646035
H,4.50124846,4.75735949,361.27129863
H,3.36644842,5.01744615,362.45939855
H,1.19289969,4.88858803,363.56390323
H,-1.45747508,3.77283874,363.31455599
H,-2.69613711,1.69902930,364.06658440
H,-2.97380879,-0.78326407,364.46862081
H,-2.21740641,-3.19728748,364.49798304
H,-1.09998468,-4.95320848,363.05704434
H,0.44153962,-5.53989471,363.27268234
H,2.78955418,-5.94889518,362.74315865
H,4.85067232,-5.37201679,360.80652231
H,6.68814899,-3.66437463,360.47765547
H,7.67279902,-1.33398500,360.46140395
Ti,-6.57710613,-0.11098882,359.66939747
H,-9.55588670,0.06196058,361.16992148
H,-9.18065714,0.29661153,361.76299964
