Element,X,Y,Z
C,2.47818794,2.01625523,266.61327167
C,2.97990820,2.21961242,262.95695472
C,2.82217496,3.65880691,262.77983511
C,2.46040762,2.47428919,265.30004443
C,2.06272764,3.73551674,265.09651663
C,2.00767353,4.26964875,263.80429040
C,0.97545973,5.27602343,263.61420338
C,1.52939975,4.29596238,266.23235095
C,0.47230887,5.07930719,266.02565726
C,0.65167750,6.01339863,262.43724507
C,-0.75111486,6.35490209,262.22695489
C,0.11413028,5.39368987,264.71364414
C,-1.20941195,5.66074096,264.49312479
C,-1.69245319,5.89771254,263.20085914
C,-3.08551864,5.51566491,262.97968184
C,-2.02819629,5.50093659,265.59401159
C,-3.26819482,5.08667752,265.37627121
C,-3.84355421,5.57469713,261.77375901
C,-4.91881318,4.60471586,261.59439224
C,-3.69318280,4.90338513,264.07311720
C,-4.65332599,3.94476054,263.87894454
C,-5.12623774,3.62638679,262.61870252
C,-5.69712371,2.29110029,262.44462589
C,-4.98421839,3.22688745,264.99825593
C,-5.29430379,1.93686482,264.82982620
C,-5.41321070,1.39079100,263.54183041
C,-5.04428255,-0.01924927,263.46068045
C,-5.25815989,1.22783159,266.00195798
C,-4.80211912,0.00057693,265.91037113
C,-5.01126563,-0.88652734,262.32705374
C,-3.95166361,-1.89529378,262.29745214
C,-4.50811279,-0.50427895,264.65479806
C,-3.48549563,-1.39752828,264.60839317
C,-3.02787750,-1.89661305,263.39026793
C,-1.60441867,-2.22097717,263.36451604
C,-2.84672012,-1.59082795,265.81664627
C,-1.54638383,-1.79925439,265.77771981
C,-0.81572036,-2.68593940,262.27053592
C,0.58616208,-2.28344737,262.23369665
C,-0.93052349,-1.89441474,264.54395287
C,0.36546916,-1.47048051,264.49254768
C,1.05612049,-1.43131091,263.28058929
C,2.09817503,-0.41756639,263.19677985
C,0.85251615,-0.93302468,265.67360451
C,1.75563678,0.04133279,265.58027903
C,2.92033801,-0.09211056,262.07969286
C,3.39186614,1.28036551,261.96163136
C,2.20045029,0.40511544,264.31962829
C,2.60450233,1.70007471,264.18262231
C,2.04608613,0.74180335,266.74695236
C,2.14932802,0.92605366,269.11676619
C,2.48810015,2.27714609,268.96082783
C,2.68305465,1.00760424,271.46720700
C,2.79613523,2.43952110,271.35548994
C,2.76771315,2.88678587,267.68505382
C,1.88121631,3.92313278,267.53510364
C,2.38944560,3.01746962,270.13195126
C,1.70758126,4.27060199,269.95620322
C,1.27270255,4.51098409,268.65112410
C,0.13616763,5.25818136,268.44067945
C,1.31939763,5.18743969,270.97370922
C,0.10882652,5.95899966,270.75394836
C,-0.30459875,5.35553343,267.13399139
C,-1.60193799,5.54378718,266.91056211
C,-0.59484327,5.75931215,269.52938178
C,-2.02517750,5.89811565,269.29601868
C,-2.44460162,5.56976678,268.00901024
C,-3.69577397,5.07439377,267.79140763
C,-3.03897367,6.20335409,270.25821979
C,-4.36210336,5.62849333,270.04500632
C,-3.96653126,4.68013570,266.49137982
C,-4.81406449,3.69022940,266.29887620
C,-4.53789492,4.82592492,268.88178869
C,-5.37781558,3.65143083,268.70389768
C,-5.27694584,3.07066945,267.43199096
C,-5.43546140,1.75586536,267.27559254
C,-6.12991189,2.94957435,269.72269559
C,-6.05562019,1.49771782,269.60066557
C,-5.54803689,1.00383737,268.41565706
C,-4.96262254,-0.22464360,268.34111902
C,-6.35958120,0.53646200,270.61787909
C,-5.66047320,-0.74371186,270.57781576
C,-4.45229378,-0.57609031,267.10817875
C,-3.40461398,-1.36903736,267.06081448
C,-4.75396642,-0.96291593,269.50146631
C,-3.53234152,-1.75950994,269.47520204
C,-2.83733856,-1.72178231,268.26580130
C,-1.48352206,-1.84881212,268.23109515
C,-2.90780470,-2.44138194,270.56296352
C,-1.44904380,-2.51880735,270.54599076
C,-0.89295170,-1.68868607,266.98815565
C,0.33169073,-1.19681894,266.92845535
C,-0.77422294,-1.94047313,269.42656738
C,0.52720223,-1.28192214,269.37887166
C,0.90513170,-0.79473894,268.11520097
C,1.75591627,0.26302232,267.99740509
C,1.36219438,-0.94675506,270.49989347
C,2.08986250,0.30978768,270.37440941
H,3.20372543,4.19097856,261.93361255
H,1.39929573,6.26840932,261.71548436
H,-1.06721095,6.88672981,261.35394922
H,-3.60817087,6.28340456,261.00745138
H,-5.50905168,4.59987491,260.70191326
H,-6.20879067,1.98776780,261.55518603
H,-5.69965541,-0.77581662,261.51542554
H,-3.84455826,-2.56766160,261.47204040
H,-1.24457644,-3.27232571,261.48495779
H,1.22567228,-2.57882765,261.42830438
H,3.15201997,-0.82117324,261.33159881
H,3.99466810,1.58493714,261.13169486
H,2.98904902,0.49471020,272.35504274
H,3.12985690,3.03910841,272.17649811
H,1.87258731,5.27308809,271.88558690
H,-0.26356227,6.62551636,271.50361168
H,-2.82411465,6.79267744,271.12506366
H,-5.15112075,5.76737272,270.75424752
H,-6.62599613,3.44333653,270.53204018
H,-7.04484474,0.76505979,271.40721735
H,-5.79487149,-1.47285433,271.34929914
H,-3.47761130,-2.83570002,271.37826523
H,-0.90705786,-2.95308537,271.35996996
H,1.39345257,-1.53930006,271.39030597
Ti,4.74363823,3.22110548,267.61762198
H,7.79298234,4.15613622,267.44040178
H,8.04341341,3.46094625,267.48034157
