Element,X,Y,Z
C,0.85465660,4.48607940,10.03203200
C,-3.48619080,2.99678210,9.97898920
C,-4.33025910,-1.51334950,10.02712280
C,-0.85095300,-4.50614490,10.01439220
C,3.50893890,-3.02367560,9.99125460
C,4.61670920,0.05977890,10.01346530
C,4.34475280,1.50322010,10.02781430
C,3.58160920,2.02283090,11.12457810
C,2.62351110,3.14178950,11.13076180
C,2.23190960,3.98310720,10.04094010
C,0.62441350,3.76894530,12.32336280
C,0.00067650,4.10134340,11.11459200
C,-1.45091730,3.86199720,11.09591450
C,-2.35640860,3.93472900,9.98795560
C,-3.02862860,2.50246080,12.28569020
C,-3.59316100,2.09021190,11.08156620
C,-4.08686480,0.70533640,11.09535050
C,-4.60080670,-0.07256580,10.01089890
C,-3.61364380,-1.30561240,12.32078710
C,-3.56783550,-2.03140920,11.12334950
C,-2.61643160,-3.15578500,11.12226690
C,-2.22745080,-3.99486410,10.02690100
C,-0.62526990,-3.80755450,12.30702180
C,0.00352430,-4.13126390,11.09977810
C,1.45991550,-3.89068620,11.09003790
C,2.37848520,-3.96422040,9.99193490
C,3.01970940,-2.51113640,12.28981290
C,3.60320760,-2.10720150,11.08868080
C,4.09961610,-0.71781000,11.09834250
C,3.89399490,-0.04577430,12.30666870
C,3.63231590,1.30263170,12.31838630
C,3.23538200,1.81365660,13.54404830
C,2.36280500,2.81519710,13.54960520
C,1.91593290,3.29507910,12.32997690
C,0.56527380,3.58098740,14.77770920
C,-0.04388620,3.70193520,13.53928980
C,-1.35849930,3.51761230,13.52318520
C,-1.96736750,3.36521180,12.29162660
C,-3.01723270,2.48725380,14.73912380
C,-3.32927650,1.94684740,13.51220390
C,-3.73098130,0.69299270,13.52430910
C,-3.88120780,0.04158530,12.30922490
C,-3.44043880,-1.20989850,14.77631720
C,-3.21113210,-1.81533650,13.54478940
C,-2.35456620,-2.83755340,13.54171950
C,-1.91306700,-3.32017650,12.31730880
C,-0.57813970,-3.65210520,14.75612580
C,0.03230200,-3.75484300,13.52137120
C,1.34154800,-3.54905030,13.51377990
C,1.96371100,-3.38830800,12.29000340
C,2.91674620,-2.43213670,14.74206600
C,3.29296630,-1.92974620,13.51393660
C,3.73120540,-0.68152860,13.52204940
C,3.74125620,-0.06460760,14.75834570
C,3.47799090,1.22380180,14.76895450
C,3.22092740,1.78798050,16.00457430
C,2.34009970,2.78310560,16.01043310
C,1.80798300,3.12631830,14.78173060
C,0.56689360,3.70696690,17.22617510
C,-0.08305770,3.67314690,16.00493490
C,-1.41874930,3.52863450,15.98867530
C,-1.96047980,3.26226690,14.74238050
C,-3.46414380,2.96707230,17.13156020
C,-3.48334800,2.11703930,15.98129790
C,-3.75094060,0.77312040,15.99674080
C,-3.72286840,0.09295870,14.77017560
C,-3.53087780,-1.24072230,17.21774960
C,-3.17004150,-1.78701260,16.00175430
C,-2.32074200,-2.81801920,15.99835240
C,-1.80669650,-3.17060330,14.76543630
C,-0.57995580,-3.80471580,17.20502510
C,0.05336330,-3.75895790,15.98054430
C,1.36061230,-3.56202390,15.97333570
C,1.90673450,-3.26950280,14.74169210
C,3.05056630,-2.54702180,17.19274040
C,3.30611090,-1.94847930,15.97499060
C,3.73690540,-0.70030700,15.98343820
C,3.89615090,-0.08431710,17.21003570
C,3.61339960,1.25730000,17.22118090
C,3.53982830,1.95094490,18.42826980
C,2.55629340,3.04695100,18.43670270
C,1.86448800,3.22948600,17.23194830
C,0.75569460,4.34754800,19.53770670
C,-0.08336240,4.02775270,18.41934440
C,-1.55005570,3.86692990,18.40447470
C,-2.14775560,3.48187160,17.18161680
C,-3.52647320,2.99414580,19.53008060
C,-3.70792780,2.22888300,18.34302930
C,-4.01814630,0.79947200,18.38042400
C,-3.83060810,0.11590350,17.20457530
C,-4.09763220,-1.39755370,19.55149030
C,-3.42613780,-1.94831820,18.42803240
C,-2.51566460,-3.09805070,18.42031990
C,-1.85280330,-3.29261290,17.21433110
C,-0.77744490,-4.49459270,19.50364170
C,0.06007430,-4.14151240,18.40276090
C,1.51362730,-3.93049780,18.39305180
C,1.99867850,-3.41975820,17.19184200
C,3.57403020,-3.09749650,19.47687470
C,3.64252030,-2.16263500,18.39555450
C,4.11553870,-0.77052450,18.40655850
