Element,X,Y,Z
C,-0.62639472,0.97336567,5.21507012
C,-4.26831872,1.75655567,4.94177112
C,-4.82930172,0.47958967,5.16360412
C,-2.02948872,0.80989667,5.20551512
C,-2.58670472,-0.48921933,5.22979912
C,-6.23142372,0.31247067,5.13099012
C,-6.77616672,-0.97760433,5.06856412
C,-0.34016872,-1.44939033,5.13472812
C,-3.98761272,-0.65365233,5.17936512
C,-4.54063972,-1.92496533,4.90584512
C,-1.74287572,-1.60963533,5.06547512
C,-2.29310272,-2.82539933,4.59592512
C,-5.93877072,-2.07666633,4.81929912
C,-6.48068672,-3.24982533,4.27765912
C,-3.69623472,-2.97162833,4.48486412
C,-4.24582072,-4.04403533,3.73793112
C,-1.44034072,-3.78433733,4.01061812
C,-1.98226972,-4.70856133,3.09100712
C,-5.65280672,-4.18518433,3.60889512
C,-6.18233072,-5.11435933,2.65839012
C,-3.38502672,-4.81373533,2.93273312
C,-3.91538372,-5.47363433,1.80556412
C,-7.55189172,-5.39845733,2.60764112
C,-1.12411672,-5.31697733,2.15121712
C,-1.65763972,-5.72703833,0.91200512
C,-5.31195572,-5.64110733,1.65316512
C,-5.77451572,-6.13254033,0.39359612
C,-3.05413572,-5.76747933,0.72795112
C,-3.59145072,-5.78390833,-0.57731688
C,-6.83198372,-7.03656833,0.29548512
C,-0.80350772,-5.80007533,-0.20613488
C,-1.33771272,-5.53888133,-1.48515088
C,-4.99413672,-5.84625133,-0.75938488
C,-5.54631172,-5.35415633,-1.98747188
C,-2.73832272,-5.47169333,-1.65564588
C,-3.27621672,-4.82835833,-2.78440588
C,-6.93904672,-5.26664633,-2.22066188
C,-7.45470072,-4.43160633,-3.21412188
C,-0.47746572,-5.05707133,-2.49562988
C,-1.01029272,-4.23105533,-3.50744888
C,-4.67767472,-4.70505733,-2.91271888
C,-5.20601872,-3.76919333,-3.83529488
C,-2.41258672,-4.08468633,-3.62579688
C,-2.94266372,-3.02562333,-4.39323188
C,-6.60274972,-3.59985633,-3.94292788
C,-7.12603972,-2.49585033,-4.63134488
C,-0.14468172,-3.35761033,-4.20494188
C,-0.67715072,-2.18935333,-4.79584288
C,-4.34109172,-2.85150333,-4.47317688
C,-4.87248772,-1.64645733,-4.98372988
C,-2.07762272,-2.01147733,-4.86553788
C,-2.61012572,-0.73895933,-5.17332388
C,-6.27276672,-1.45842933,-5.02998488
C,-6.79709672,-0.17686233,-5.25360488
C,-0.35163772,0.19733967,-5.18619188
C,-4.00955272,-0.55245033,-5.20813188
C,-4.54681772,0.75324567,-5.21260088
C,-1.75140972,0.38263867,-5.20140288
C,-2.29310072,1.67207367,-4.99538888
C,-5.94799972,0.93770167,-5.20152088
C,-6.47968772,2.19904267,-4.89674588
C,-0.04329572,2.55292067,-4.62926988
C,-3.69282672,1.84974967,-4.96697288
C,-4.24194072,3.04154667,-4.44413488
C,-1.44547472,2.71993567,-4.57531888
C,-1.99986372,3.81455567,-3.87093688
C,-5.64076472,3.19633267,-4.37606188
C,-6.18727472,4.21113367,-3.58155488
C,-3.40347672,3.95004167,-3.76594488
C,-3.96650772,4.81162667,-2.79000388
C,-1.15822372,4.60655867,-3.06382288
C,-1.71565472,5.29279667,-1.96222488
C,-5.37512272,4.90191367,-2.64852088
C,-5.93733472,5.48267867,-1.47139888
C,-3.12139972,5.35963067,-1.80550188
C,-3.67009872,5.73652367,-0.56244088
C,-7.33223672,5.45636367,-1.32195488
C,-0.87188272,5.65345267,-0.88969588
C,-1.42286072,5.75321967,0.40350612
C,-5.07223372,5.83861467,-0.38832388
C,-5.53994572,6.07008467,0.93448212
C,-2.82258272,5.76807867,0.56862412
C,-3.38201572,5.48817367,1.83460412
C,-6.51445072,7.03089867,1.19773012
C,-0.58703872,5.53139567,1.51875912
C,-1.15154672,4.98362367,2.68962312
C,-4.78561372,5.53454567,2.00669612
C,-5.37204172,4.78573367,3.07360812
C,-2.55634672,4.91315667,2.82126412
C,-3.13074272,4.04000867,3.76332212
C,-6.77066872,4.68043467,3.24752012
C,-7.32580572,3.64448067,4.00311712
C,-0.32201872,4.26148267,3.57356812
C,-0.89413072,3.24632767,4.37179312
C,-4.53685272,3.92163867,3.83704512
C,-5.10317172,2.81047567,4.50697812
C,-2.30030072,3.10747667,4.42967312
C,-2.86639172,1.91715567,4.93565212
C,-6.50488972,2.64872467,4.53906712
C,-7.06091172,1.42712767,4.94584112
C,-0.06225272,2.22831667,4.88940512
C,6.36956728,1.77301667,5.14233512
C,5.82091628,0.50315067,5.37163212
C,2.17550428,1.29716067,5.20625212
C,1.61616928,0.00548367,5.33774012
C,4.41723828,0.33710367,5.37189912
C,3.86292528,-0.95892033,5.29347512
C,0.21342228,-0.15981933,5.30932612
C,6.65566528,-0.62350533,5.35787212
C,6.11513328,-1.88316533,5.06090612
C,2.46065428,-1.12426833,5.24835112
C,1.91187528,-2.37045233,4.87058712
C,4.71217028,-2.04997833,5.00709012
C,4.16516628,-3.21709333,4.43037512
C,0.50901928,-2.52541933,4.78968412
C,-0.03700372,-3.65131933,4.13340012
C,6.95532228,-2.90653333,4.60010112
C,6.41742328,-3.96257033,3.85004412
C,2.76417628,-3.36775233,4.34187912
C,2.22053928,-4.37183633,3.51271912
C,5.01786528,-4.10727433,3.73854912
C,4.47580328,-4.97734233,2.76260412
C,0.81752628,-4.49176733,3.38446812
C,0.27560628,-5.24163233,2.31928412
C,7.25714328,-4.76207133,3.06911312
