Element,X,Y,Z
C,6.12617429,0.44907603,360.08139458
C,6.25552389,-0.32409477,356.40726328
C,5.97958919,0.95096273,355.85362708
C,6.08260379,0.61788683,358.67213878
C,5.59050919,1.82608983,358.11850258
C,5.92024789,1.11489583,354.44437128
C,5.05607279,2.62082773,360.38337798
C,5.50373529,1.97730403,356.70924668
C,4.70888069,3.01176903,356.15561048
C,4.94447649,2.75477453,358.97412218
C,3.98283739,3.63634233,358.42048598
C,4.58511599,3.13456063,354.74635468
C,3.54440919,3.92122503,354.19271848
C,3.83971769,3.73590253,357.01123008
C,2.67874019,4.33091733,356.45759388
C,3.00162799,4.19940683,359.27610558
C,1.75530259,4.58487363,358.72246928
C,2.51434369,4.38896283,355.04833808
C,1.23714789,4.65482443,354.49470178
C,1.58334939,4.61364093,357.31321348
C,0.27942629,4.65482443,356.75957728
C,0.62753669,4.67407863,359.57808898
C,-0.66389091,4.48934513,359.02445268
C,0.10600039,4.63696563,355.35032148
C,-1.16216601,4.33091733,354.79668518
C,-0.83162261,4.44178963,357.61519688
C,-2.02783501,3.92122503,357.06156068
C,-1.72142021,4.08754253,359.88007238
C,-2.80969571,3.36812053,359.32643608
C,-2.17695221,3.83089493,355.65230478
C,-3.19230651,3.01176903,355.09866858
C,-2.94096251,3.25338393,357.91718028
C,-3.79951341,2.27114053,357.36354408
C,-3.59369691,2.55254983,360.18205578
C,-4.26961861,1.43673553,359.62841948
C,-3.89565681,2.12570363,355.95428818
C,-4.46301501,0.95096273,355.40065198
C,-4.33918681,1.27687393,358.21916368
C,-4.69503481,0.02177083,357.66552748
C,-4.62938141,0.36417583,360.48403908
C,-4.76301511,-0.93353507,359.93040288
C,-4.71972251,-0.15081527,356.25627158
C,-4.73002001,-1.45534797,355.70263538
C,-4.75751141,-1.10779107,358.52114708
C,-4.54225111,-2.39448247,357.96751088
C,-4.70805981,-1.62830237,354.29337958
C,-4.19503851,-3.28704847,360.23238628
C,-4.49073741,-2.56104117,356.55825498
C,-3.94199461,-3.74459217,356.00461878
C,-4.11552081,-3.44220127,358.82313048
C,-3.37053221,-4.51313707,358.26949428
C,-3.84815911,-3.89152867,354.59536298
C,-2.67487221,-5.17138317,360.53436968
C,-3.25271961,-4.64165037,356.86023838
C,-2.25042281,-5.47670287,356.30660218
C,-2.53662651,-5.27760737,359.12511388
C,-1.40512051,-5.92691917,358.57147768
C,-2.10275011,-5.56937567,354.89734638
C,-0.91490461,-6.10875907,354.34371008
C,-1.24365651,-5.99268257,357.16222178
C,0.01952059,-6.31871237,356.60858558
C,-0.32434301,-6.26118487,359.42709728
C,0.97616829,-6.36405377,358.87346098
C,0.19264289,-6.33930667,355.19932978
