Element,X,Y,Z
C,4.74374353,-2.00486082,-0.26624088
C,4.17438899,-3.35371064,-3.72575669
C,4.76336167,-2.33332953,-4.51351029
C,4.75171432,-2.11495828,-1.68193970
C,5.09932023,-0.99534177,-2.47834036
C,5.21454709,0.38028622,-0.44379683
C,5.08490182,-1.09880921,-3.89448929
C,5.11068311,0.07288262,-4.69141843
C,5.18147886,0.27790790,-1.85971111
C,4.94688849,1.43155084,-2.64882495
C,4.56894516,2.72613995,-0.59305369
C,4.89082993,1.32519185,-4.06372297
C,4.34527747,2.38289625,-4.83330501
C,4.49573614,2.61249358,-2.00659994
C,3.72575201,3.53867342,-2.75355411
C,2.94385118,4.54217445,-0.64960210
C,3.63380322,3.41127581,-4.16483253
C,2.62934054,4.11374896,-4.87631579
C,2.83987096,4.40065072,-2.05869657
C,1.69427748,4.88587879,-2.73751502
C,1.57976249,4.72373512,-4.14356880
C,0.32565493,4.90469620,-4.77846211
C,0.56398944,5.26954239,-1.97209478
C,-0.71816574,5.19338216,-2.57117984
C,-0.83716127,4.99011726,-3.97150647
C,-2.07896673,4.59333810,-4.52748115
C,-1.85096324,5.04032004,-1.73215722
C,-3.00181446,4.40080238,-2.25673705
C,-3.10625902,4.15871883,-3.65204287
C,-4.07641149,3.24988915,-4.14342379
C,-3.89469419,3.76586569,-1.35660468
C,-4.67408411,2.67990450,-1.82762995
C,-4.74801713,2.40949663,-3.21968058
C,-5.24449116,1.16236229,-3.67442378
C,-5.13524770,1.71963243,-0.89177595
C,-5.38140742,0.39835275,-1.34149862
C,-5.41531170,0.11609126,-2.73274597
C,-5.33601878,-1.22420751,-3.18654180
C,-5.31015946,-0.66206153,-0.40284935
C,-4.97384512,-1.95787673,-0.86801704
C,-5.34665907,-1.50485643,-4.57848944
C,-4.96664593,-2.23302152,-2.26108258
C,-4.33103712,-3.40167986,-2.74981841
C,-4.38184307,-2.87210703,0.03991120
C,-3.53672752,-3.88704805,-0.47418959
C,-4.30378064,-3.66507233,-4.14490874
C,-3.49601903,-4.13760643,-1.87131214
C,-2.44093170,-4.90604680,-2.42350211
C,-2.54552174,-4.43961714,0.37598432
C,-1.37264832,-4.97754631,-0.21021157
C,-2.38760984,-5.13719182,-3.82354650
C,-1.31310090,-5.19123541,-1.61277321
C,-0.06388791,-5.41533793,-2.24354154
C,-0.18803115,-5.02929668,0.56736243
C,1.06239146,-4.99473765,-0.09887669
C,-0.00183272,-5.60604954,-3.64930592
C,1.12213221,-5.16705583,-1.50711160
C,2.29915164,-4.81756820,-2.21500067
C,2.19381283,-4.51219773,0.60657203
C,3.25521088,-3.93048431,-0.13076720
C,2.35076586,-4.96819567,-3.62604383
C,3.37592778,-4.33247205,-4.37003641
C,3.29645828,-4.06565872,-1.54371257
C,4.15020454,-3.23437760,-2.31098949
C,4.09805506,-2.99293124,0.51825141
C,4.72352836,-1.78271243,2.56498524
C,5.13339797,-0.68327111,1.77007840
C,5.14840091,-0.47354613,4.60228372
C,5.30438645,0.68719733,3.80418244
C,5.12350734,-0.78758519,0.35395064
C,5.27598467,0.58490655,2.38815857
C,5.10605140,1.74804007,1.59641778
C,5.20461614,1.95714406,4.42699621
C,4.78030668,3.06272821,3.64836448
C,5.05450259,1.64294755,0.18125476
C,4.71124802,2.95123542,2.23443671
C,3.99471564,3.91455544,1.48129589
C,4.16813827,4.16010902,4.30534304
C,3.25037233,4.95918599,3.57884211
C,3.90622376,3.79029010,0.06951850
C,3.14912776,4.82143044,2.16917380
C,2.03452267,5.36360765,1.48191523
C,2.25836478,5.67497017,4.29590871
C,1.03811740,5.98089662,3.64319757
C,1.92168235,5.20580139,0.07523391
C,0.68287805,5.44966977,-0.56859640
C,0.91996843,5.80533502,2.23905581
C,-0.36020005,5.79392023,1.63105750
C,-1.38895198,5.91673105,3.86076509
C,-0.47965647,5.59528227,0.23010740
C,-1.73617502,5.26163125,-0.33421835
C,-1.50514108,5.69983957,2.46224669
C,-2.68342862,5.11919500,1.93016226
C,-3.51797708,4.78475630,4.21854346
C,-2.79037276,4.88105223,0.53436892
C,-3.80214977,4.02224996,0.03698447
C,-3.61376699,4.53171034,2.82456093
C,-4.44422654,3.48632793,2.34902302
C,-4.89900268,2.82835708,4.67394491
C,-4.52217015,3.21834250,0.95672396
C,-5.07839671,1.99757753,0.49959121
C,-4.96025904,2.55196423,3.28245293
C,-5.27034433,1.24440593,2.83216191
C,-5.23992118,0.46489439,5.16378037
C,-5.30891902,0.96253808,1.44095719
C,-5.29491913,-0.38061747,0.98889239
C,-5.25979732,0.18288894,3.77220829
C,-4.98676974,-1.12895484,3.31053657
C,-4.98391934,-1.40581791,1.91779515
C,-4.40534972,-2.60596446,1.43454508
C,-4.44851002,-2.07107874,4.22338860
C,-3.65267436,-3.12840363,3.71610972
C,-3.61507917,-3.38243069,2.31952519
C,-2.59673506,-4.20434756,1.77541759
C,-2.69689291,-3.72977171,4.57369572
C,-1.54891537,-4.32749848,3.99620747
C,-1.49058395,-4.54567410,2.59428449
C,-0.25006405,-4.83395627,1.97248951
C,-0.37392373,-4.43865460,4.78211744
C,0.88124042,-4.46868844,4.12463488
C,0.94191902,-4.64556344,2.71700395
C,2.14013068,-4.35741675,2.01708582
C,2.03086641,-4.04362465,4.83758393
C,3.12564278,-3.51766844,4.10720267
C,3.16978402,-3.65650926,2.69469912
C,4.07013161,-2.87078102,1.93270819
C,4.01068004,-2.62353319,4.76130284
C,4.71134109,-1.67061831,3.98050202
H,4.96648902,-2.49599841,-5.58227936
H,5.29724683,0.01163039,-5.77374516
H,4.47128868,2.40514777,-5.92583192
H,2.66358868,4.18396980,-5.97353278
H,0.25629369,4.97722924,-5.87386936
H,-2.24191930,4.62203802,-5.61496070
H,-4.30318716,3.19786097,-5.21853081
H,-5.49185375,1.00974638,-4.73532410
H,-5.35489067,-1.72225849,-5.65675868
H,-4.28265747,-3.86910200,-5.22561288
H,-2.34629915,-5.31623783,-4.90808866
H,0.04623827,-5.75377278,-4.73827928
H,1.59561201,-5.57813037,-4.14345677
H,3.54813854,-4.59307480,-5.42475085
H,5.36189134,-0.44593295,5.68100905
H,5.45112713,2.08200460,5.49171749
H,4.40026851,4.38670686,5.35641772
H,2.43174974,5.98633271,5.33657383
H,0.18325507,6.35435824,4.22606166
H,-1.29894311,6.08473486,4.94412507
H,-3.44376597,4.98076968,5.29838948
H,-4.85154004,3.04246040,5.75186096
H,-5.22451327,0.68335050,6.24175787
H,-4.64415837,-1.98353068,5.30229842
H,-2.84288296,-3.73249396,5.66395648
H,-0.43482889,-4.50023395,5.87869737
H,2.07251753,-4.12022755,5.93411774
H,4.15071704,-2.66815572,5.85143471
N,6.56276777,-1.00861068,1.87855306
H,7.06379962,-0.20570783,2.20152999
H,6.68523367,-1.76069352,2.52614360
H,8.67980760,1.87756718,3.10870674
H,8.85868930,2.55483811,3.34725534
