Element,X,Y,Z
C,5.86342216,2.22026117,114.62539122
C,6.00859436,1.23238847,111.00394912
C,5.79172886,2.48335627,110.37413082
C,5.84102686,2.30836357,113.20830812
C,5.37283526,3.48851087,112.57848752
C,4.75720576,4.38673357,114.78284532
C,5.32873226,3.56799987,111.16140332
C,4.57544876,4.59001507,110.53158492
C,4.69778346,4.45552717,113.36576222
C,3.75135546,5.30182817,112.73594162
C,2.79909296,5.83003267,114.94029952
C,3.67636696,5.35321187,111.31885742
C,2.54562786,5.93060297,110.68903902
C,2.71518336,5.86500037,113.52321642
C,1.49023986,6.19886357,112.89339582
C,0.40229636,6.24558497,115.09775362
C,1.40019016,6.21129867,111.47631152
C,0.13061076,6.22222117,110.84649322
C,0.31160646,6.23934757,113.68067052
C,-0.93335784,5.99031927,113.05084992
C,-1.01946574,5.96118177,111.63376562
C,-2.15997144,5.40333067,111.00394732
C,-2.00573034,5.49957217,113.83812462
C,-3.00799584,4.72020377,113.20830402
C,-3.07199104,4.65564227,111.79121982
C,-3.84274694,3.64673867,111.16140142
C,-3.74780914,3.80178567,113.99557882
C,-4.29587194,2.65654397,113.36575822
C,-4.32424974,2.57018277,111.94867392
C,-4.56260634,1.32313127,111.31885562
C,-4.54700634,1.50426487,114.15303292
C,-4.52521094,0.23482557,113.52321232
C,-4.51198304,0.14488907,112.10612802
C,-4.16764074,-1.07714993,111.47630982
C,-4.23467064,-0.90815383,114.31048702
C,-3.64761674,-2.03390643,113.68066642
C,-3.59557784,-2.10844293,112.26358272
C,-2.74118694,-3.04757113,111.63376272
C,-2.87671324,-2.92638823,114.46794122
C,-1.84828394,-3.67089113,113.83812062
C,-2.67189084,-3.10640753,110.21667712
C,-1.76841414,-3.71430063,112.42103752
C,-0.58429074,-4.17234143,111.79121692
C,-0.75969764,-4.12453813,114.62539532
C,0.49308176,-4.33068193,113.99557472
C,-0.49600094,-4.19398823,110.37413122
C,0.58393246,-4.33380193,112.57849162
C,1.84790276,-4.21409923,111.94867102
C,1.66963086,-4.24976263,114.78284942
C,2.88239166,-3.87404633,114.15302882
C,1.93655496,-4.19398823,110.53158532
C,2.96505126,-3.83621833,112.73594572
C,4.04213786,-3.16403273,112.10612512
C,3.89862106,-3.27563723,114.94030362
C,4.81543946,-2.39734593,114.31048302
C,4.11244526,-3.10640723,110.68903952
C,4.87246526,-2.32655303,112.89339992
C,5.53537366,-1.24373183,112.26357932
C,5.45689856,-1.40772693,115.09775772
C,5.88430216,-0.21220293,114.46793712
C,5.57250056,-1.16075503,110.84649362
C,5.93779546,0.05518797,110.21667722
C,5.90365966,-0.12338363,113.05085402
C,6.01250506,1.14156837,112.42103342
C,6.01562646,0.95979097,115.25521182
C,5.90365946,2.04296557,117.45956972
C,5.49684216,3.24565037,116.82974902
C,5.57250806,3.08034027,119.66392642
C,4.92825926,4.17436707,119.03410802
C,5.45689896,3.32730887,115.41266602
C,4.87246526,4.24613477,117.61702382
C,3.97085946,5.14003537,116.98720322
C,4.11245076,5.02599737,119.82138052
C,3.04704596,5.71655057,119.19156222
C,3.89862176,5.19521947,115.57012012
C,2.96505206,5.75580067,117.77447792
C,1.75891996,6.15228087,117.14465732
C,1.93655716,6.11357987,119.97883472
C,0.67482436,6.25493467,119.34901642
C,1.66963176,6.16934527,115.72757422
C,0.58393326,6.25338467,117.93193202
C,-0.67220004,6.06877667,117.30211142
C,-0.49600044,6.11357387,120.13628822
C,-1.68781364,5.67592207,119.50647182
C,-0.75969664,6.04412057,115.88502832
C,-1.92739804,5.54569827,115.25520772
C,-1.76841124,5.63387957,118.08938622
C,-2.80947154,4.90714507,117.45956562
C,-3.54228034,4.10166667,119.66392602
C,-2.87671234,4.84597117,116.04248252
C,-3.69836464,3.87806677,115.41266192
C,-3.59557944,4.02802647,118.24684032
C,-4.20187424,2.91251937,117.61701972
C,-4.49723844,1.86439527,119.82138012
C,-4.23467034,2.82773737,116.19993662
C,-4.53688364,1.59460377,115.57011602
C,-4.51198974,1.77469537,118.40429452
C,-4.55557624,0.50581797,117.77447382
C,-4.35116594,-0.56377093,119.97883422
C,-4.54700644,0.41531867,116.35739072
C,-4.26600594,-0.82282113,115.72757012
C,-4.32425654,-0.65060153,118.56174862
C,-3.79593684,-1.80508323,117.93192802
C,-3.13490874,-2.67040243,120.13628632
