Element,X,Y,Z
C,0.83938400,4.36428630,9.99994120
C,-3.49001940,2.92115110,9.98171280
C,-4.28853590,-1.45457110,9.99273750
C,-0.81647570,-4.36380890,10.00093770
C,3.55716820,-3.01423930,10.02027640
C,4.69995820,0.04693510,10.02370240
C,4.41788410,1.48767990,10.02054220
C,3.63944990,2.00410210,11.10683730
C,2.65360580,3.09571180,11.10065530
C,2.23013800,3.90315550,10.00132510
C,0.64602500,3.68488660,12.30036940
C,0.00434620,3.98297700,11.10137330
C,-1.44360640,3.73260780,11.10210080
C,-2.33438280,3.80913370,9.98739590
C,-3.10859090,2.43732490,12.32142930
C,-3.65951810,2.05279460,11.09981080
C,-4.20631110,0.71210880,11.11313580
C,-4.59870000,-0.04212990,9.97669820
C,-3.72599400,-1.23563070,12.34357940
C,-3.57382520,-1.94386980,11.12322400
C,-2.59630190,-3.03552610,11.11557070
C,-2.18394780,-3.84349210,10.00553830
C,-0.61980010,-3.69587680,12.30524550
C,0.02293780,-4.02000280,11.10231310
C,1.47972460,-3.81775460,11.10625240
C,2.40518840,-3.92366650,10.01686940
C,3.05333550,-2.47458050,12.31096070
C,3.65516920,-2.09386460,11.11039860
C,4.16903930,-0.71599810,11.11146440
C,3.96018050,-0.03799630,12.31217250
C,3.69808400,1.30397690,12.30927490
C,3.30207920,1.82312280,13.52794010
C,2.41796800,2.80759840,13.52310710
C,1.95125020,3.25044930,12.30171690
C,0.61875290,3.54961430,14.74704230
C,-0.01273440,3.61990210,13.51963580
C,-1.33298190,3.39720210,13.52262840
C,-1.97793160,3.24441160,12.31172440
C,-3.00650460,2.35463180,14.75807410
C,-3.56407400,1.91923380,13.54929840
C,-4.42643590,0.83567920,13.57724670
C,-4.16933220,0.09254810,12.36719160
C,-3.60817590,-1.18773330,14.74076830
C,-3.30595520,-1.75810180,13.53371980
C,-2.39174090,-2.74962070,13.52674910
C,-1.91033150,-3.20988850,12.30897670
C,-0.60329690,-3.55782610,14.74807680
C,0.02660480,-3.65401500,13.52275930
C,1.33977710,-3.46657050,13.52602460
C,1.97977870,-3.32370310,12.30774780
C,2.92573130,-2.37686410,14.76174810
C,3.32507080,-1.89297990,13.53285830
C,3.78504260,-0.65725000,13.53370090
C,3.79683920,-0.03289480,14.76366920
C,3.54697140,1.25389530,14.76034160
C,3.29595140,1.83192830,15.98752860
C,2.41630020,2.82218790,15.98189880
C,1.87086850,3.13029830,14.74979580
C,0.65071030,3.73348450,17.19371290
C,-0.00791940,3.64682380,15.97318550
C,-1.32417500,3.42515940,15.97633920
C,-1.91295720,3.12896920,14.74828880
C,-3.03438670,2.45246600,17.21891460
C,-3.37400620,1.88096550,16.00236130
C,-3.88743960,0.66376100,15.99791920
C,-4.04877330,0.09488730,14.74321130
C,-3.67194320,-1.29499390,17.21023350
C,-3.29069730,-1.78521950,15.97311290
C,-2.39294310,-2.77821680,15.97066060
C,-1.84466470,-3.09281240,14.74772160
C,-0.63388210,-3.74018800,17.19225470
C,0.01921570,-3.67266120,15.97778800
C,1.33210420,-3.47700820,15.98296520
C,1.89782530,-3.19291850,14.75733330
C,3.03271670,-2.47716030,17.21286480
C,3.31382720,-1.89235440,15.99400090
C,3.77328130,-0.65431980,15.99512910
C,3.93827770,-0.02983160,17.21579980
C,3.68237030,1.31689060,17.21147250
C,3.62175520,2.02777670,18.40882640
C,2.65169840,3.13773230,18.40122070
C,1.95195360,3.28540430,17.19754370
C,0.85540510,4.45595980,19.48285180
C,0.01372200,4.06080420,18.39210750
C,-1.43565700,3.81355030,18.40019470
C,-1.95223600,3.29585360,17.20442780
C,-3.47644950,2.98245110,19.52747410
C,-3.59933970,2.07014090,18.43496030
C,-4.11082540,0.69865730,18.43936900
C,-3.96107840,0.03358880,17.22280790
C,-4.32264560,-1.50542630,19.52227510
C,-3.58389560,-2.01411090,18.40753840
C,-2.62129470,-3.11965450,18.39349550
C,-1.92663110,-3.26374700,17.19088970
C,-0.84091620,-4.46159180,19.48177590
C,0.00389380,-4.07796700,18.39393670
C,1.45950940,-3.84705940,18.40143290
C,1.96381200,-3.33735340,17.20644950
C,3.52013830,-3.01472590,19.50661590
C,3.62335480,-2.09102480,18.41790140
C,4.13453340,-0.70782220,18.41953290
C,4.65514010,0.06041180,19.51026990
C,4.38432980,1.50519340,19.50451670
C,2.23998840,3.97157170,19.48783150
C,-2.33995190,3.90501780,19.50637240
C,-4.59405910,-0.06810900,19.54288210
C,-2.21714510,-3.95871530,19.48160080
C,2.37906820,-3.94070920,19.49781890
H,0.44883900,4.93170430,9.18113520
H,-4.16042320,2.89136820,9.14829480
H,-4.54083990,-2.09085630,9.17029110
H,-0.44751490,-4.94320350,9.18051770
H,4.26490910,-3.00892380,9.21779980
H,5.23712140,-0.41748490,9.22330110
H,4.74040960,2.11546300,9.21633230
H,2.88848690,4.12541860,9.18763830
H,-2.13703440,4.46351660,9.16414170
H,-5.05645150,0.41924400,9.12668320
H,-2.84337530,-4.02725130,9.18317450
H,2.23966730,-4.60586190,9.20934250
H,0.47540240,5.04745350,20.28943520
H,-4.16008220,2.96260180,20.35037490
H,-4.62282960,-2.13966130,20.33010120
H,-0.47011530,-5.05734400,20.28951070
H,4.21805630,-3.00140650,20.31761670
H,5.17889800,-0.40334700,20.31993440
H,4.70418470,2.13250240,20.31019530
H,2.90232390,4.19734700,20.29729470
H,-2.16762770,4.58952480,20.31049620
H,-5.09134560,0.39316340,20.37044730
H,-2.88327860,-4.17567820,20.29034050
H,2.21675680,-4.62668240,20.30279350
Ti,-6.42790450,1.42921150,13.67773990
H,-9.00095686,2.30030739,13.52976521
H,-8.91533372,2.00105561,14.20111985
