Element,X,Y,Z
C,4.34885692,1.27845785,359.97343904
C,4.47820652,0.50528705,356.29930774
C,4.20227182,1.78034455,355.74567154
C,4.30528642,1.44726865,358.56418324
C,3.81319182,2.65547165,358.01054704
C,3.27875542,3.45020955,360.27542244
C,3.72641792,2.80668585,356.60129114
C,2.93156332,3.84115085,356.04765494
C,3.16715912,3.58415635,358.86616664
C,2.20552002,4.46572415,358.31253044
C,2.06240032,4.56528435,356.90327454
C,0.90142282,5.16029915,356.34963834
C,1.22431062,5.02878865,359.16815004
C,-0.02201478,5.41425545,358.61451374
C,-0.19396798,5.44302275,357.20525794
C,-1.49789108,5.48420625,356.65162174
C,-1.14978068,5.50346045,359.47013344
C,-2.44120828,5.31872695,358.91649714
C,-2.60893998,5.27117145,357.50724134
C,-3.80515238,4.75060685,356.95360514
C,-3.49873758,4.91692435,359.77211684
C,-4.58701308,4.19750235,359.21848054
C,-3.95426958,4.66027675,355.54434924
C,-4.71827988,4.08276575,357.80922474
C,-5.57683078,3.10052235,357.25558854
C,-5.37101428,3.38193165,360.07410024
C,-6.04693598,2.26611735,359.52046394
C,-5.67297418,2.95508545,355.84633264
C,-6.11650418,2.10625575,358.11120814
C,-6.47235218,0.85115265,357.55757194
C,-6.40669878,1.19355765,360.37608354
C,-6.54033248,-0.10415325,359.82244734
C,-6.49703988,0.67856655,356.14831604
C,-6.50733738,-0.62596615,355.59467984
C,-6.53482878,-0.27840925,358.41319154
C,-6.31956848,-1.56510065,357.85955534
C,-5.97235588,-2.45766665,360.12443074
C,-6.26805478,-1.73165935,356.45029944
C,-5.71931198,-2.91521035,355.89666324
C,-5.89283818,-2.61281945,358.71517494
C,-5.14784958,-3.68375525,358.16153874
C,-4.45218958,-4.34200135,360.42641414
C,-5.03003698,-3.81226855,356.75228284
C,-4.02774018,-4.64732105,356.19864664
C,-4.31394388,-4.44822555,359.01715834
C,-3.18243788,-5.09753735,358.46352214
C,-3.02097388,-5.16330075,357.05426624
C,-1.75779678,-5.48933055,356.50063004
C,-2.10166038,-5.43180305,359.31914174
C,-0.80114908,-5.53467195,358.76550544
C,-0.62707218,-5.52504365,357.35624964
C,0.65416142,-5.27937725,356.80261344
C,0.31873972,-5.37447635,359.62112514
C,1.53825582,-4.91112775,359.06748884
C,1.69148232,-4.82795865,357.65823304
C,2.74447792,-4.05782115,357.10459684
C,2.48197702,-4.28726575,359.92310844
C,3.38606752,-3.34677015,359.36947224
C,2.87016562,-3.93699865,355.69534104
C,3.48898852,-3.20604795,357.96021644
C,4.11132632,-2.05948475,357.40658024
C,3.97220732,-2.37916805,360.22509194
C,4.38707672,-1.14231925,359.67145564
C,4.17324812,-1.89650885,355.99732434
C,4.41990752,-0.97109545,358.26219984
C,4.49195392,0.33148695,357.70856364
C,4.50296002,-0.01698175,360.52707524
C,4.41990752,0.93713195,362.79195074
C,4.04429042,2.18646115,362.23831454
C,4.17324812,1.86254535,365.05682614
C,3.58741592,3.02818335,364.50318994
C,3.97220732,2.34520455,360.82905864
C,3.48898852,3.17208445,363.09393414
C,2.61503872,4.14065215,362.54029794
C,2.87016562,3.90303515,365.35880954
C,1.84200692,4.70603035,364.80517334
C,2.48197702,4.25330225,361.13104204
C,1.38248012,4.95545475,360.57740584
C,1.69148232,4.79399515,363.39591754
C,0.48720122,5.29561115,362.84228134
C,-0.45338608,5.47596135,365.10715674
C,0.31873972,5.34051285,361.43302544
C,-0.97544318,5.50483655,360.87938924
C,-0.62707218,5.49108015,363.69790094
C,-1.93018278,5.42931775,363.14426464
C,-2.85751418,5.18997075,365.40914014
C,-2.10166038,5.39783955,361.73500884
C,-3.34174538,4.99274595,361.18137264
C,-3.02097388,5.12933725,363.99988434
C,-4.17241368,4.51606915,363.44624804
C,-4.31394388,4.41426205,362.03699224
C,-5.26154648,3.51762335,361.48335604
C,-5.03003698,3.77830505,364.30186774
C,-5.80846218,2.73142125,363.74823144
C,-5.89283818,2.57885595,362.33897564
C,-6.36579848,1.36303525,361.78533944
C,-6.26805478,1.69769585,364.60385114
C,-6.52382668,0.41844125,364.05021484
C,-6.53482878,0.24444575,362.64095904
C,-6.44222848,-1.05683695,362.08732284
C,-6.49703988,-0.71253005,364.90583444
C,-6.18099108,-1.97824115,364.35219824
C,-6.40669878,-1.22752115,360.67806694
C,-6.11650418,-2.14021925,362.94294244
C,-5.47614398,-3.27681525,362.38930624
C,-5.67297418,-2.98904895,365.20781784
C,-4.84585918,-3.99790595,364.65418164
C,-5.37101428,-3.41589515,360.98005034
C,-4.71827988,-4.11672925,363.24492584
C,-3.65325788,-4.87014795,362.69128964
C,-2.77508688,-5.25230815,364.95616504
C,-3.49873758,-4.95088785,361.28203374
C,-2.27205888,-5.39492715,360.72839754
C,-2.60893998,-5.30513495,363.54690924
C,-1.32398788,-5.53054485,362.99327304
C,-0.36674358,-5.50031095,365.25814844
C,-1.14978068,-5.53742395,361.58401714
C,0.14894462,-5.41403765,361.03038094
C,-0.19396798,-5.47698625,363.84889264
C,1.06390482,-5.13105625,363.29525644
C,1.22431062,-5.06275215,361.88600054
C,2.34542542,-4.39565905,361.33236434
C,2.06240032,-4.59924785,364.15087604
C,3.05138992,-3.74847695,363.59723974
C,3.16715912,-3.61811985,362.18798394
C,3.89514882,-2.53555695,361.63434774
C,3.72641792,-2.84064935,364.45285934
C,4.25640842,-1.64858325,363.89922314
C,4.30528642,-1.48123215,362.48996734
C,4.50020782,-0.19130295,361.93633114
C,4.47820652,-0.53925055,364.75484274
C,4.44731662,0.76495705,364.20120654
H,4.68145082,-0.34839365,355.63604234
H,4.35446652,1.96968745,354.67283134
H,2.98813292,4.07740045,354.97481484
H,0.85149272,5.39804055,355.27679814
H,-1.64472258,5.67773785,355.57878154
H,-4.06978298,4.59030275,354.45267154
H,-5.74745148,2.84242295,354.75465494
H,-6.50819508,1.55603705,355.48505064
H,-6.69733808,-0.77733895,354.52183974
H,-5.82629658,-3.13331185,354.82382314
H,-4.03114278,-4.89022515,355.12580644
H,-1.65696328,-5.71034315,355.42778984
H,0.83984762,-5.43601265,355.72977324
H,2.96752942,-3.84340365,354.60366324
