Element,X,Y,Z
C,3.35612909,0.55449047,266.52982413
C,3.65388189,1.41413507,262.86522493
C,3.37667799,2.96276887,262.99371373
C,3.09990879,1.39927647,265.20017073
C,2.24177119,2.69963857,265.03912533
C,2.06649469,3.19248047,263.80182933
C,0.53667189,3.67822527,263.60787703
C,1.45080309,3.11350577,266.05581263
C,0.21650069,3.43283137,266.00478573
C,-0.09546861,4.13691517,262.44070653
C,-1.63953781,3.85855617,262.36820813
C,-0.30253531,3.49631737,264.78838413
C,-1.61786051,3.21794797,264.72534473
C,-2.22222981,3.16614307,263.46894753
C,-3.43956981,2.20904847,263.37499963
C,-2.30165011,2.82026447,265.94497133
C,-3.32441101,1.95920697,265.83938113
C,-4.11116761,1.90124117,262.17670923
C,-4.91062181,0.56595847,262.14709553
C,-3.77477141,1.52562727,264.56040813
C,-4.42488151,0.33537667,264.48802683
C,-4.94751511,-0.18363033,263.33958663
C,-5.46819141,-1.61832043,263.56565773
C,-4.37746031,-0.40455013,265.63598083
C,-4.24604251,-1.75278943,265.56089303
C,-4.40733081,-2.39010293,264.36087213
C,-3.41218821,-3.58457773,264.14959313
C,-3.79316131,-2.32665413,266.65677083
C,-2.90598771,-3.28701733,266.53884863
C,-3.21676951,-4.40363143,263.01756133
C,-1.78417081,-5.02643683,262.87765173
C,-2.55694471,-3.75207103,265.26406483
C,-1.31868091,-4.23690073,265.12905823
C,-0.85362071,-4.65434013,263.87820683
C,0.68208879,-4.51625253,263.69238613
C,-0.51164681,-4.15915423,266.22952603
C,0.80311249,-3.99496453,266.05252943
C,1.42156299,-4.79076363,262.52188373
C,2.67668889,-3.88549323,262.30199043
C,1.32036729,-3.93586403,264.78780423
C,2.39801459,-3.15501023,264.59621683
C,2.89495089,-2.91423543,263.30174673
C,3.52333909,-1.49036273,263.08975863
C,2.84285459,-2.50653393,265.68400923
C,3.37352309,-1.30811793,265.53542883
C,3.93444119,-0.93519473,261.84966213
C,3.97266779,0.63882537,261.71932643
C,3.52345469,-0.69499853,264.23426043
C,3.49078269,0.74005337,264.08552823
C,3.52692469,-0.66256923,266.67744203
C,3.76599639,-0.54027533,269.47798663
C,3.34952579,0.69371507,269.55006363
C,4.07515439,-0.40607373,271.86186283
C,3.45446959,1.09717117,271.96016173
C,2.87416999,1.64562737,270.78343803
C,1.68947299,2.98161617,270.65772723
C,1.06734679,3.29065927,269.39474903
C,-0.17148971,3.65922217,269.01914973
C,1.02764979,3.69208357,271.70038703
C,-0.06262571,4.65047937,271.09511243
C,-0.61572171,3.48140997,267.43540923
C,-1.87207341,3.12549217,267.28129033
C,-0.94632321,3.96235497,270.00064063
C,-2.40500711,3.43931857,269.77980773
C,-2.66656291,2.88462507,268.46364373
C,-3.62614241,1.95703917,268.30341233
C,-3.41060881,3.37185507,270.76881683
C,-4.47970331,2.24679207,270.58066333
C,-3.78576981,1.39975427,267.00157063
C,-4.26251311,0.17023437,266.88495493
C,-4.34718071,1.45375767,269.42116843
C,-4.81718781,-0.02075233,269.19789323
C,-4.45474351,-0.53758933,267.98707503
C,-4.08321531,-1.83807823,267.90110243
C,-5.49256171,-1.14157253,270.00205003
C,-4.47278601,-2.28544443,270.19619923
C,-3.82836251,-2.56126763,269.03083293
C,-2.79378941,-3.43783623,268.91719163
C,-4.12749831,-2.98644133,271.37105633
C,-2.90609751,-3.95454123,271.28787363
C,-2.25970111,-3.64789623,267.66857443
C,-0.99762991,-4.07615833,267.51105703
C,-2.20839701,-3.99156103,270.06379043
C,-0.74591071,-4.48241123,269.88613663
C,-0.21161431,-4.25920383,268.61313343
C,1.10624589,-4.07017493,268.45755233
C,0.07966539,-5.00608713,270.90879183
C,1.61232409,-4.76969553,270.73456963
C,1.52808379,-3.72595143,267.16011953
C,2.58256369,-2.95118453,267.00219653
C,1.97696109,-4.06679723,269.57326163
C,3.20712629,-3.13845133,269.36519573
C,3.18415819,-2.49391213,268.13202323
C,3.59224229,-1.22079993,268.07909353
C,4.37309419,-2.63942443,270.26466013
C,4.09944529,-1.15494623,270.59973933
H,4.03689149,3.73734167,262.66340353
H,0.44069309,4.60563757,261.64213513
H,-2.21738411,4.13704777,261.51180643
H,-4.04794591,2.53632157,261.31790973
H,-5.40192741,0.22804317,261.25865763
H,-6.44035081,-1.98189383,263.30562163
H,-3.98143491,-4.56104243,262.28583833
H,-1.51575161,-5.65480313,262.05420783
H,1.12051519,-5.53338293,261.81283163
H,3.29688459,-3.96718913,261.43390423
H,4.17669199,-1.56256363,261.01744203
H,4.22081309,1.10747937,260.78996623
H,4.46476869,-0.86567463,272.74612223
H,3.45635019,1.63873477,272.88293943
H,1.20469309,3.54489377,272.74534163
H,-0.13137621,5.69112607,271.33429313
H,-3.41670031,4.02243027,271.61828383
H,-5.24514601,2.06713577,271.30637323
H,-6.52362741,-1.16775303,270.28687453
H,-4.67443321,-2.85455203,272.28119193
H,-2.59472981,-4.53748803,272.12938123
H,-0.32361591,-5.49740333,271.76952683
H,2.32768239,-5.08390003,271.46564613
H,5.24922589,-3.19593913,270.52460873
Ti,1.81647849,2.82362177,267.82380293
Ti,3.13526989,1.11754147,268.01952843
H,4.68323952,-1.12338947,273.24195845
H,3.80618518,5.11339353,267.82347771
H,4.42511873,5.46367727,268.02798336
