Element,X,Y,Z
C,5.67779533,1.22037338,359.40263507
C,5.80714493,0.44720258,355.72850377
C,5.53121023,1.72226008,355.17486757
C,5.63422483,1.38918418,357.99337927
C,5.14213023,2.59738718,357.43974307
C,4.60769383,3.39212508,359.70461847
C,5.05535633,2.74860138,356.03048717
C,4.26050173,3.78306638,355.47685097
C,4.49609753,3.52607188,358.29536267
C,3.53445843,4.40763968,357.74172647
C,3.39133873,4.50719988,356.33247057
C,2.23036123,5.10221468,355.77883437
C,2.55324903,4.97070418,358.59734607
C,1.30692363,5.35617098,358.04370977
C,1.13497043,5.38493828,356.63445397
C,-0.16895267,5.42612178,356.08081777
C,0.17915773,5.44537598,358.89932947
C,-1.11226987,5.26064248,358.34569317
C,-1.28000157,5.21308698,356.93643737
C,-2.47621397,4.69252238,356.38280117
C,-2.16979917,4.85883988,359.20131287
C,-3.25807467,4.13941788,358.64767657
C,-2.62533117,4.60219228,354.97354527
C,-3.38934147,4.02468128,357.23842077
C,-4.24789237,3.04243788,356.68478457
C,-4.04207587,3.32384718,359.50329627
C,-4.71799757,2.20803288,358.94965997
C,-4.34403577,2.89700098,355.27552867
C,-4.78756577,2.04817128,357.54040417
C,-5.14341377,0.79306818,356.98676797
C,-5.07776037,1.13547318,359.80527957
C,-5.21139407,-0.16223772,359.25164337
C,-5.16810147,0.62048208,355.57751207
C,-5.17839897,-0.68405062,355.02387587
C,-5.20589037,-0.33649372,357.84238757
C,-4.99063007,-1.62318512,357.28875137
C,-4.64341747,-2.51575112,359.55362677
C,-4.93911637,-1.78974382,355.87949547
C,-4.39037357,-2.97329482,355.32585927
C,-4.56389977,-2.67090392,358.14437097
C,-3.81891117,-3.74183972,357.59073477
C,-3.12325117,-4.40008582,359.85561017
C,-3.70109857,-3.87035302,356.18147887
C,-2.69880177,-4.70540552,355.62784267
C,-2.98500547,-4.50631002,358.44635437
C,-1.85349947,-5.15562182,357.89271817
C,-1.69203547,-5.22138522,356.48346227
C,-0.42885837,-5.54741502,355.92982607
C,-0.77272197,-5.48988752,358.74833777
C,0.52778933,-5.59275642,358.19470147
C,0.70186623,-5.58312812,356.78544567
C,1.98309983,-5.33746172,356.23180947
C,1.64767813,-5.43256082,359.05032117
C,2.86719423,-4.96921222,358.49668487
C,3.02042073,-4.88604312,357.08742907
C,4.07341633,-4.11590562,356.53379287
C,3.81091543,-4.34535022,359.35230447
C,4.71500593,-3.40485462,358.79866827
C,4.19910403,-3.99508312,355.12453707
C,4.81792693,-3.26413242,357.38941247
C,5.44026473,-2.11756922,356.83577627
C,5.30114573,-2.43725252,359.65428797
C,5.71601513,-1.20040372,359.10065167
C,5.50218653,-1.95459332,355.42652037
C,5.74884593,-1.02917992,357.69139587
C,5.82089233,0.27340248,357.13775967
C,5.83189843,-0.07506622,359.95627127
C,5.74884593,0.87904748,362.22114677
C,5.37322883,2.12837668,361.66751057
C,5.50218653,1.80446088,364.48602217
C,4.91635433,2.97009888,363.93238597
C,5.30114573,2.28712008,360.25825467
C,4.81792693,3.11399998,362.52313017
C,3.94397713,4.08256768,361.96949397
C,4.19910403,3.84495068,364.78800557
C,3.17094533,4.64794588,364.23436937
C,3.81091543,4.19521778,360.56023807
C,2.71141853,4.89737028,360.00660187
C,3.02042073,4.73591068,362.82511357
C,1.81613963,5.23752668,362.27147737
C,0.87555233,5.41787688,364.53635277
C,1.64767813,5.28242838,360.86222147
C,0.35349523,5.44675208,360.30858527
C,0.70186623,5.43299568,363.12709697
C,-0.60124437,5.37123328,362.57346067
C,-1.52857577,5.13188628,364.83833617
C,-0.77272197,5.33975508,361.16420487
C,-2.01280697,4.93466148,360.61056867
C,-1.69203547,5.07125278,363.42908037
C,-2.84347527,4.45798468,362.87544407
C,-2.98500547,4.35617758,361.46618827
C,-3.93260807,3.45953888,360.91255207
C,-3.70109857,3.72022058,363.73106377
C,-4.47952377,2.67333678,363.17742747
C,-4.56389977,2.52077148,361.76817167
C,-5.03686007,1.30495078,361.21453547
C,-4.93911637,1.63961138,364.03304717
C,-5.19488827,0.36035678,363.47941087
C,-5.20589037,0.18636128,362.07015507
C,-5.11329007,-1.11492142,361.51651887
C,-5.16810147,-0.77061452,364.33503047
C,-4.85205267,-2.03632562,363.78139427
C,-5.07776037,-1.28560562,360.10726297
C,-4.78756577,-2.19830372,362.37213847
C,-4.14720557,-3.33489972,361.81850227
C,-4.34403577,-3.04713342,364.63701387
C,-3.51692077,-4.05599042,364.08337767
C,-4.04207587,-3.47397962,360.40924637
C,-3.38934147,-4.17481372,362.67412187
C,-2.32431947,-4.92823242,362.12048567
C,-1.44614847,-5.31039262,364.38536107
C,-2.16979917,-5.00897232,360.71122977
C,-0.94312047,-5.45301162,360.15759357
C,-1.28000157,-5.36321942,362.97610527
C,0.00495053,-5.58862932,362.42246907
C,0.96219483,-5.55839542,364.68734447
C,0.17915773,-5.59550842,361.01321317
C,1.47788303,-5.47212212,360.45957697
C,1.13497043,-5.53507072,363.27808867
C,2.39284323,-5.18914072,362.72445247
C,2.55324903,-5.12083662,361.31519657
C,3.67436383,-4.45374352,360.76156037
C,3.39133873,-4.65733232,363.58007207
C,4.38032833,-3.80656142,363.02643577
C,4.49609753,-3.67620432,361.61717997
C,5.22408723,-2.59364142,361.06354377
C,5.05535633,-2.89873382,363.88205537
C,5.58534683,-1.70666772,363.32841917
C,5.63422483,-1.53931662,361.91916337
C,5.82914623,-0.24938742,361.36552717
C,5.80714493,-0.59733502,364.18403877
C,5.77625503,0.70687258,363.63040257
H,6.01038923,-0.40647812,355.06523837
H,5.68340493,1.91160298,354.10202737
H,4.31707133,4.01931598,354.40401087
H,2.18043113,5.33995608,354.70599417
H,-0.31578417,5.61965338,355.00797757
H,-2.74084457,4.53221828,353.88186757
H,-4.41851307,2.78433848,354.18385097
H,-5.17925667,1.49795258,354.91424667
H,-5.36839967,-0.83542342,353.95103577
H,-4.49735817,-3.19139632,354.25301917
H,-2.70220437,-4.94830962,354.55500247
H,-0.32802487,-5.76842762,354.85698587
H,2.16878603,-5.49409712,355.15896927
H,4.29646783,-3.90148812,354.03285927
H,5.55015423,-1.82834422,354.33484267
H,5.73952643,1.75265578,365.55886237
H,4.43579283,3.89965368,365.86084577
H,2.49061463,5.20222828,364.89763477
H,1.01009803,5.40616508,365.62803057
H,-1.40195207,5.17885588,365.93001387
H,-3.76139067,3.95554778,364.80390387
H,-5.09428117,1.82652808,365.10588727
H,-5.38831137,-0.66803952,365.40787067
H,-4.58695917,-3.04861852,365.70985407
H,-2.97464977,-4.74593322,364.74664307
H,-1.57485387,-5.26947042,365.47703877
H,0.82835443,-5.57646392,365.77902217
H,3.39857543,-4.90015242,364.65291217
H,5.16577053,-3.11511932,364.95489557
H,5.99951153,-0.74568952,365.25687897
Ti,-7.29790467,-0.14753812,359.37146677
Ti,-7.12347947,1.54629628,359.68545627
H,-8.82273547,0.43688183,362.67222884
H,-8.50988451,0.03773814,362.13333312
