Element,X,Y,Z
C,4.69821321,1.83532419,266.74066263
C,4.73654251,1.72394999,258.10394303
C,4.07467031,2.96491309,257.96793173
C,4.65669031,1.94554759,260.55214703
C,3.92442311,3.14631779,260.41613573
C,4.56420401,2.16217679,263.00035103
C,3.76397431,3.31876509,262.86433973
C,4.45939101,2.37311769,265.44855503
C,3.59385701,3.48168219,265.31254363
C,3.50534811,3.55939659,259.12402803
C,2.29415031,4.27428409,258.98801673
C,3.32179711,3.70701399,261.57223203
C,2.07142501,4.35093469,261.43622073
C,3.13004651,3.84381159,264.02043603
C,1.84465361,4.41462629,263.88442463
C,2.93073321,3.96933479,266.46864003
C,1.61458951,4.46514739,266.33262863
C,1.72998561,4.44154469,257.69590903
C,0.32486311,4.50233009,257.55989773
C,1.49856111,4.48541479,260.14411303
C,0.09227051,4.46514739,260.00810173
C,1.26499361,4.51587919,262.59231703
C,-0.13779359,4.41462629,262.45630573
C,1.03005891,4.53283679,265.04052103
C,-0.36456499,4.35093469,264.90450963
C,-0.47647999,4.31421429,258.71599403
C,-1.70777629,3.63452799,258.57998273
C,-0.69690389,4.23117709,261.16419803
C,-1.88699699,3.48168219,261.02818673
C,-0.91217779,4.13557869,263.61240203
C,-2.05711429,3.31876509,263.47639073
C,-1.12158649,4.02773669,266.06060603
C,-2.21756309,3.14631779,265.92459463
C,-2.13858129,3.23369759,257.28787503
C,-2.90514819,2.05452869,257.15186373
C,-2.29399389,3.05669809,259.73607903
C,-2.99135319,1.83532419,259.60006773
C,-2.43895099,2.87103889,262.18428303
C,-3.06478629,1.61151749,262.04827173
C,-2.57297109,2.67733689,264.63248703
C,-3.12520339,1.38385179,264.49647563
C,-3.15046659,1.26880779,258.30796003
C,-3.19099719,-0.13704481,258.17194873
C,-3.19099719,1.03677519,260.75616403
C,-3.15046659,-0.36907741,260.62015273
C,-3.21809269,0.80279289,263.20436803
C,-3.09663539,-0.59838961,263.06835673
C,-3.23166289,0.56763819,265.65257203
C,-3.02968249,-0.82421961,265.51656063
C,-3.06478629,-0.71178711,256.87984103
C,-2.99135319,-0.93559381,259.32804503
C,-2.29399389,-2.15696771,259.19203373
C,-2.90514819,-1.15479831,261.77624903
C,-2.13858129,-2.33396721,261.64023773
C,-2.80645749,-1.36867211,264.22445303
