Element,X,Y,Z
C,3.80808586,3.10384035,115.52451891
C,3.88813447,3.00226189,116.93861663
C,3.79629856,1.93119213,114.72741753
C,3.91421520,1.72760643,117.55765742
C,3.65951984,4.14449076,117.74712093
Ti,5.89201078,2.92344727,116.92681217
C,3.45883899,4.33760634,114.92080893
C,3.56315987,0.68417351,115.35925281
C,3.73500245,2.03320434,113.31241774
C,3.60164929,0.58700530,116.77539732
C,3.97087509,1.62609201,118.97288927
C,3.06594445,5.28690045,117.15452156
C,3.75768335,4.04714231,119.16037448
C,2.94690197,5.37387589,115.74219998
C,3.35630782,4.43331717,113.50775731
C,3.02205609,-0.37606146,114.58871680
C,3.64354654,3.30636620,112.69652840
C,3.48174759,0.88000058,112.52717870
C,3.06130044,-0.55196989,117.42299556
C,3.67425271,0.39427596,119.60792232
C,4.04336486,2.79855895,119.76704422
C,2.35256974,6.18839754,117.98459170
C,3.30011840,5.11040967,119.97934496
C,2.08249847,6.33509868,115.16126737
C,2.70496317,5.54517128,112.91770992
C,2.26214461,-1.37425124,115.24809313
C,3.00045034,-0.28686849,113.17168967
C,3.55895023,3.40724528,111.28264790
C,3.43879861,0.97860886,111.11126088
C,2.26551668,-1.44890173,116.66612135
C,3.07896087,-0.63863278,118.84023554
H,3.90111252,0.24317983,120.67361158
H,4.31542659,2.74072709,120.83129366
C,1.31037224,6.95855475,117.41073857
C,2.48598373,6.11334620,119.39631387
H,3.57097038,5.15621785,121.04448818
C,1.16289265,7.01497044,115.99954931
C,1.94588968,6.40671699,113.74967361
C,2.58209222,5.62943963,111.50555102
C,1.29788687,-2.09699679,114.50078940
C,2.25209784,-1.22162907,112.41221135
C,3.14694370,4.62293410,110.68183696
C,3.60775697,2.23753893,110.48263512
C,2.95321230,-0.10611927,110.33783902
C,1.27911411,-2.21292069,117.33836393
C,2.26906534,-1.59480624,119.50237116
C,0.27073511,7.42773359,118.25314171
C,1.60296628,6.84170035,120.23321055
C,-0.04067143,7.50187873,115.43123659
C,0.86567172,7.12370278,113.17723519
C,1.66962996,6.54641500,110.92659385
C,0.17799920,-2.63678335,115.18130954
C,1.30605268,-2.03703887,113.08208349
C,2.24539649,-1.14370906,110.99436827
H,3.26301715,4.78183480,109.59958628
H,3.77314708,2.30532649,109.39725953
H,3.12202281,-0.14192567,109.25146257
C,0.16002133,-2.67556955,116.60066169
C,1.26855008,-2.26884933,118.75721977
H,2.41385014,-1.80910969,120.57152999
C,-1.00656751,7.66418786,117.68638570
C,0.42574716,7.38841398,119.66410486
H,1.82645183,6.97965355,121.30139224
C,-1.16584107,7.68054547,116.27544543
C,-0.19700858,7.53669773,114.02030272
C,0.71597587,7.17598408,111.76611886
H,1.70089189,6.76472498,109.84893322
C,-1.01397321,-2.86818476,114.44900332
C,0.21248486,-2.55476306,112.34270004
H,1.69116026,-1.88808326,110.40384048
C,-1.05784328,-2.90447402,117.28843620
C,0.12272473,-2.74867246,119.43947811
C,-2.14503172,7.60069842,118.52928808
C,-0.68833933,7.62681015,120.50825476
C,-2.46101770,7.59145857,115.70693304
C,-1.48458116,7.70858228,113.45352433
C,-0.51082417,7.60180999,111.19844271
C,-2.25107654,-2.83672859,115.13980817
C,-0.99223846,-2.84770732,113.02932154
C,0.22894501,-2.51155899,110.92345456
C,-2.27213147,-2.83387205,116.55964499
C,-1.07992341,-2.92027246,118.70817352
H,0.16588148,-2.98278793,120.51340382
C,-3.39433156,7.25462649,117.95648121
C,-1.98665748,7.60302331,119.94042498
H,-0.54838151,7.82597529,121.58097928
C,-3.54626731,7.22988019,116.54485405
C,-2.61857109,7.58453716,114.29572182
C,-1.64399109,7.72025035,112.04255169
H,-0.58197100,7.83528848,110.12586873
C,-3.42727066,-2.52661712,114.41110010
C,-2.20829505,-2.83780472,112.30012710
H,0.24169223,-2.47808052,109.82403987
C,-3.45802187,-2.48042681,117.25056145
C,-2.31344445,-2.82355968,119.39932828
C,-4.38333296,6.67053472,118.78794355
H,-2.87087083,7.58636315,120.59455257
C,-4.66617607,6.58466724,115.96336456
C,-3.84822245,7.17611794,113.72146013
C,-2.93267767,7.56613601,111.47320305
C,-4.51409363,-1.93162612,115.09916021
C,-3.41103220,-2.54753556,112.99135123
C,-2.18662447,-2.83602960,110.88029515
C,-4.51930348,-1.89013592,116.51854018
C,-3.47247965,-2.45516781,118.67026016
H,-2.37002284,-3.02991114,120.47831253
C,-5.34743080,5.81603011,118.19721460
C,-4.24054288,6.71158449,120.20014802
C,-5.47444592,5.75780906,116.78410966
C,-4.80617691,6.53987234,114.55099731
C,-3.99818607,7.14711684,112.30970198
H,-3.10221977,7.76734132,110.40513894
C,-5.43434608,-1.14410645,114.36189136
C,-4.50100271,-2.01075861,112.26028955
H,-2.16983594,-2.83464341,109.78042609
C,-5.41653125,-1.02999690,117.19954561
C,-4.52695625,-1.80339730,119.35720739
C,-5.97022071,4.83325691,119.00771213
H,-4.12992430,6.74337457,121.29410809
C,-6.18919227,4.69369625,116.17960415
C,-5.72485409,5.63840585,113.95768814
C,-5.08324825,6.44665403,111.72608030
C,-6.13510588,-0.11220841,115.03475650
C,-5.44150985,-1.19959984,112.94299839
C,-4.49317383,-2.04838054,110.84081118
C,-6.10889209,-0.04324661,116.45283449
C,-5.40584089,-0.97141942,118.61829306
H,-4.66033012,-1.94026758,120.44047434
C,-6.45210274,3.65171346,118.39097187
C,-5.85866917,4.90196502,120.42165368
C,-6.54187261,3.57470978,116.97591008
C,-6.29657594,4.62288715,114.76544612
C,-5.84820419,5.57726214,112.54438079
H,-5.32640798,6.57495471,110.66099754
C,-6.61326334,0.98786955,114.27857457
C,-6.18342654,-0.24788542,112.19840720
H,-4.48710293,-2.07751496,109.74121577
C,-6.52168393,1.14100543,117.11296738
C,-6.05229597,0.09680865,119.28881790
C,-6.56921214,2.47631197,119.17540364
H,-5.77224613,4.95518449,121.51695943
C,-6.70706185,2.31732191,116.34320660
C,-6.71684940,3.41967573,114.14554480
C,-6.50710094,4.47933599,111.93689773
C,-6.77364660,2.23784774,114.92700096
C,-6.65679172,0.91191858,112.86127892
C,-6.20557038,-0.31455862,110.78014785
C,-6.47362404,1.21813553,118.53005216
C,-6.02190049,0.16784754,120.70671231
C,-6.49796027,2.55577277,120.59138543
C,-6.80203518,3.34169878,112.73025174
H,-6.78356560,4.50948579,110.87263860
C,-6.90215716,2.07906985,112.09435419
H,-6.22271444,-0.36620140,109.68149638
H,-5.99834484,0.22288249,121.80508030
H,-6.44275401,2.61732684,121.68827162
H,-7.16458606,2.00653437,111.02858731
