Element,X,Y,Z
C,5.34672493,0.60689966,359.97497648
C,5.47607453,-0.16627114,356.30084518
C,5.20013983,1.10878636,355.74720898
C,5.30315443,0.77571046,358.56572068
C,4.81105983,1.98391346,358.01208448
C,4.27662343,2.77865136,360.27695988
C,4.72428593,2.13512766,356.60282858
C,3.92943133,3.16959266,356.04919238
C,4.16502713,2.91259816,358.86770408
C,3.20338803,3.79416596,358.31406788
C,3.06026833,3.89372616,356.90481198
C,1.89929083,4.48874096,356.35117578
C,2.22217863,4.35723046,359.16968748
C,0.97585323,4.74269726,358.61605118
C,0.80390003,4.77146456,357.20679538
C,-0.50002307,4.81264806,356.65315918
C,-0.15191267,4.83190226,359.47167088
C,-1.44334027,4.64716876,358.91803458
C,-1.61107197,4.59961326,357.50877878
C,-2.80728437,4.07904866,356.95514258
C,-2.50086957,4.24536616,359.77365428
C,-3.58914507,3.52594416,359.22001798
C,-2.95640157,3.98871856,355.54588668
C,-3.72041187,3.41120756,357.81076218
C,-4.57896277,2.42896416,357.25712598
C,-4.37314627,2.71037346,360.07563768
C,-5.04906797,1.59455916,359.52200138
C,-4.67510617,2.28352726,355.84787008
C,-5.11863617,1.43469756,358.11274558
C,-5.47448417,0.17959446,357.55910938
C,-5.40883077,0.52199946,360.37762098
C,-5.54246447,-0.77571144,359.82398478
C,-5.49917187,0.00700836,356.14985348
C,-5.50946937,-1.29752434,355.59621728
C,-5.53696077,-0.94996744,358.41472898
C,-5.32170047,-2.23665884,357.86109278
C,-4.97448787,-3.12922484,360.12596818
C,-5.27018677,-2.40321754,356.45183688
C,-4.72144397,-3.58676854,355.89820068
C,-4.89497017,-3.28437764,358.71671238
C,-4.14998157,-4.35531344,358.16307618
C,-3.45432157,-5.01355954,360.42795158
C,-4.03216897,-4.48382674,356.75382028
C,-3.02987217,-5.31887924,356.20018408
C,-3.31607587,-5.11978374,359.01869578
C,-2.18456987,-5.76909554,358.46505958
C,-2.02310587,-5.83485894,357.05580368
C,-0.75992877,-6.16088874,356.50216748
C,-1.10379237,-6.10336124,359.32067918
C,0.19671893,-6.20623014,358.76704288
C,0.37079583,-6.19660184,357.35778708
C,1.65202943,-5.95093544,356.80415088
C,1.31660773,-6.04603454,359.62266258
C,2.53612383,-5.58268594,359.06902628
C,2.68935033,-5.49951684,357.65977048
C,3.74234593,-4.72937934,357.10613428
C,3.47984503,-4.95882394,359.92464588
C,4.38393553,-4.01832834,359.37100968
C,3.86803363,-4.60855684,355.69687848
C,4.48685653,-3.87760614,357.96175388
C,5.10919433,-2.73104294,357.40811768
C,4.97007533,-3.05072624,360.22662938
C,5.38494473,-1.81387744,359.67299308
C,5.17111613,-2.56806704,355.99886178
C,5.41777553,-1.64265364,358.26373728
C,5.48982193,-0.34007124,357.71010108
C,5.50082803,-0.68853994,360.52861268
C,5.41777553,0.26557376,362.79348818
C,5.04215843,1.51490296,362.23985198
C,5.17111613,1.19098716,365.05836358
C,4.58528393,2.35662516,364.50472738
C,4.97007533,1.67364636,360.83059608
C,4.48685653,2.50052626,363.09547158
C,3.61290673,3.46909396,362.54183538
C,3.86803363,3.23147696,365.36034698
C,2.83987493,4.03447216,364.80671078
C,3.47984503,3.58174406,361.13257948
C,2.38034813,4.28389656,360.57894328
C,2.68935033,4.12243696,363.39745498
C,1.48506923,4.62405296,362.84381878
C,0.54448193,4.80440316,365.10869418
C,0.37079583,4.81952196,363.69943838
C,-0.93231477,4.75775956,363.14580208
C,-1.85964617,4.51841256,365.41067758
C,-1.10379237,4.72628136,361.73654628
C,-2.34387737,4.32118776,361.18291008
