Element,X,Y,Z
C,6.16780364,1.83237333,360.06986054
C,6.29715324,1.05920253,356.39572924
C,6.02121854,2.33426003,355.84209304
C,6.22311464,1.57678893,352.16796174
C,5.82782214,2.82003283,351.61432554
C,6.12423314,2.00118413,358.66060474
C,5.63213854,3.20938713,358.10696854
C,5.96187724,2.49819313,354.43283724
C,5.35771694,3.65443783,353.87920104
C,5.09770214,4.00412503,360.37184394
C,5.54536464,3.36060133,356.69771264
C,4.75051004,4.39506633,356.14407644
C,5.25703014,3.79676723,352.46994514
C,4.36789924,4.75141783,351.91630894
C,4.98610584,4.13807183,358.96258814
C,4.02446674,5.01963963,358.40895194
C,4.62674534,4.51785793,354.73482064
C,3.58603854,5.30452233,354.18118444
C,3.88134704,5.11919983,356.99969604
C,2.72036954,5.71421463,356.44605984
C,3.43414404,5.39009993,352.77192854
C,2.22209444,5.87264243,352.21829234
C,3.04325734,5.58270413,359.26457154
C,1.79693194,5.96817093,358.71093524
C,2.55597304,5.77226013,355.03680404
C,1.27877724,6.03812173,354.48316774
C,2.05294504,5.91487913,350.80903654
C,1.62497874,5.99693823,357.30167944
C,0.32105564,6.03812173,356.74804324
C,1.10487404,6.05049683,353.07391194
C,-0.19709906,5.96817093,352.52027574
C,0.66916604,6.05737593,359.56655494
C,-0.62226156,5.87264243,359.01291864
C,0.14762974,6.02026293,355.33878744
C,-1.12053666,5.71421463,354.78515114
C,-0.36805846,5.93398963,351.11101984
C,-0.78999326,5.82508693,357.60366284
C,-1.98620566,5.30452233,357.05002664
C,-1.28301866,5.65100823,353.37589534
C,-2.42463386,5.01963963,352.82225914
C,-1.67979086,5.47083983,359.86853834
C,-2.76806636,4.75141783,359.31490204
C,-2.13532286,5.21419223,355.64077074
C,-3.15067716,4.39506633,355.08713454
C,-2.56453926,4.91561103,351.41300324
C,-3.49786926,4.00412503,350.85936704
C,-2.89933316,4.63668123,357.90564624
C,-3.75788406,3.65443783,357.35201004
C,-3.27050376,4.26842893,353.67787874
C,-4.03230566,3.20938713,353.12424254
C,-3.55206756,3.93584713,360.17052174
C,-4.22798926,2.82003283,359.61688544
C,-3.85402746,3.50900093,355.94275414
C,-4.42138566,2.33426003,355.38911794
C,-4.11426266,3.05550893,351.71498664
C,-4.56797076,1.83237333,351.16135044
C,-4.29755746,2.66017123,358.20762964
C,-4.65340546,1.40506813,357.65399344
C,-4.47552226,2.16853523,353.97986214
C,-4.71106776,0.88540243,353.42622594
C,-4.58775206,1.74747313,360.47250504
C,-4.72138576,0.44976223,359.91886884
C,-4.67809316,1.23248203,356.24473754
C,-4.68839066,-0.07205067,355.69110134
C,-4.71932166,0.71125493,352.01697004
C,-4.60619056,-0.58840377,351.46333384
C,-4.71588206,0.27550623,358.50961304
C,-4.50062176,-1.01118517,357.95597684
C,-4.66643046,-0.24500507,354.28184554
C,-4.33044016,-1.50556927,353.72820934
C,-4.15340916,-1.90375117,360.22085224
C,-4.44910806,-1.17774387,356.54672094
C,-3.90036526,-2.36129487,355.99308474
C,-4.26340426,-1.66650917,352.31895344
C,-3.60518136,-2.79285467,351.76531724
C,-4.07389146,-2.05890397,358.81159644
C,-3.32890286,-3.12983977,358.25796024
C,-3.80652976,-2.50823137,354.58382894
C,-2.96359176,-3.50390567,354.03019264
C,-2.63324286,-3.78808587,360.52283564
C,-3.21109026,-3.25835307,356.84870434
C,-2.20879346,-4.09340557,356.29506814
C,-2.83415256,-3.62070017,352.62093684
C,-1.75736966,-4.35721227,352.06730064
C,-2.49499716,-3.89431007,359.11357984
C,-1.36349116,-4.54362187,358.55994364
C,-2.06112076,-4.18607837,354.88581234
C,-0.87327526,-4.72546177,354.33217604
C,-1.60159396,-4.43550277,350.65804484
C,-1.20202716,-4.60938527,357.15068774
C,0.06114994,-4.93541507,356.59705154
C,-0.70631506,-4.77565917,352.92292024
C,0.58203524,-4.98075647,352.36928404
C,-0.28271366,-4.87788757,359.41556324
C,1.01779764,-4.98075647,358.86192694
C,0.23427224,-4.95600937,355.18779574
C,1.53868294,-4.93541507,354.63415944
C,0.75632934,-4.98488457,350.96002824
C,1.19187454,-4.97112817,357.45267114
C,2.47310814,-4.72546177,356.89903494
C,1.71106894,-4.90936577,353.22490364
C,2.96332404,-4.54362187,352.67126744
C,2.13768644,-4.82056087,359.71754664
C,3.35720254,-4.35721227,359.16391034
C,2.63840034,-4.67001877,355.48977904
C,3.80862634,-4.09340557,354.93614284
C,3.12263154,-4.47279397,351.26201164
C,4.23307574,-3.78808587,350.70837534
C,3.51042904,-4.27404317,357.75465454
C,4.56342464,-3.50390567,357.20101834
C,3.95329984,-3.99611717,353.52688704
C,4.92873574,-3.12983977,352.97325084
C,4.30092374,-3.73335027,360.01952994
C,5.20501424,-2.79285467,359.46589374
