File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g)
17,298.15,3.58684716,0.3,0.000703668,1.283748270909024
17,298.15,3.58684716,0.4,0.000938005,1.7112648249657778
17,298.15,3.58684716,0.5,0.001172231,2.1385788743497725
17,298.15,3.58684716,0.6,0.001406347,2.56569224342743
17,298.15,3.58684716,0.7,0.001640354,2.992606756565171
17,298.15,3.58684716,0.8,0.001874251,3.419320589396574
17,298.15,3.58684716,0.9,0.002108039,3.8458355662880614
17,298.15,3.58684716,1.0,0.002341717,4.272149862873211
17,298.15,3.58684716,1.1,0.002575285,4.698263479152023
18,298.15,12.31049118,0.1,9.45e-11,1.722191235059761e-07
18,298.15,12.31049118,0.2,1.89e-10,3.444382470119522e-07
18,298.15,12.31049118,0.3,2.83e-10,5.15746158224246e-07
18,298.15,12.31049118,0.4,3.78e-10,6.888764940239044e-07
18,298.15,12.31049118,0.5,4.72e-10,8.601844052361982e-07
18,298.15,12.31049118,0.6,5.67e-10,1.0333147410358567e-06
18,298.15,12.31049118,0.7,6.61e-10,1.2046226522481505e-06
18,298.15,12.31049118,0.8,7.56e-10,1.3777529880478088e-06
18,298.15,12.31049118,0.9,8.5e-10,1.5490608992601025e-06
18,298.15,12.31049118,1.0,9.45e-10,1.722191235059761e-06
18,298.15,12.31049118,1.1,1.04e-09,1.8953215708594193e-06
19,298.15,4.46912622,0.1,5.29e-05,0.09656778089332045
19,298.15,4.46912622,0.2,0.000105866,0.1932560433280201
19,298.15,4.46912622,0.3,0.00015879,0.289867635690933
19,298.15,4.46912622,0.4,0.000211709,0.38647010066434745
19,298.15,4.46912622,0.5,0.000264622,0.48306161277036375
19,298.15,4.46912622,0.6,0.00031753,0.5796439974868817
19,298.15,4.46912622,0.7,0.000370432,0.6762154293360015
19,298.15,4.46912622,0.8,0.000423328,0.7727759083177232
19,298.15,4.46912622,0.9,0.000476219,0.8693272599099466
19,298.15,4.46912622,1.0,0.000529104,0.9658676586347718
19,298.15,4.46912622,1.1,0.000581984,1.0623989299700987
2,298.15,0.94565757,0.1,0.01986295,36.46394232753807
2,298.15,0.94565757,0.2,0.038952194,71.50753314825211
2,298.15,0.94565757,0.3,0.057312075,105.21217631175308
2,298.15,0.94565757,0.4,0.074983611,137.65317170986933
2,298.15,0.94565757,0.5,0.092004801,168.9002770243401
2,298.15,0.94565757,0.6,0.108410897,199.0182070580991
2,298.15,0.94565757,0.7,0.124234648,228.0670816648077
2,298.15,0.94565757,0.8,0.13950652,256.1028296197461
2,298.15,0.94565757,0.9,0.15425489,283.17754476050777
2,298.15,0.94565757,1.0,0.168506221,309.3398072479357
2,298.15,0.94565757,1.1,0.182285224,334.63498096195974
20,298.15,-35.10228189,0.1,1.0,1825.0680993053659
20,298.15,-35.10228189,0.2,1.0,1825.0680993053659
20,298.15,-35.10228189,0.3,1.0,1825.0680993053659
20,298.15,-35.10228189,0.4,1.0,1825.0680993053659
20,298.15,-35.10228189,0.5,1.0,1825.0680993053659
20,298.15,-35.10228189,0.6,1.0,1825.0680993053659
20,298.15,-35.10228189,0.7,1.0,1825.0680993053659
20,298.15,-35.10228189,0.8,1.0,1825.0680993053659
20,298.15,-35.10228189,0.9,1.0,1825.0680993053659
20,298.15,-35.10228189,1.0,1.0,1825.0680993053659
20,298.15,-35.10228189,1.1,1.0,1825.0680993053659
21,298.15,4.16478387,0.1,8.85e-05,0.16155479412209567
