File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g),wt%
1,77,-0.22339356,0.1,0.301011268,550.5998118347162,4.718622621878491
1,77,-0.22339356,0.2,0.462734298,846.4182058735073,7.074429036755305
1,77,-0.22339356,0.3,0.563683584,1031.0712862905798,8.486793328547568
1,77,-0.22339356,0.4,0.63269768,1157.3095780462993,9.427903491671694
1,77,-0.22339356,0.5,0.682860963,1249.0665888862109,10.099896922644907
1,77,-0.22339356,0.6,0.720968858,1318.7722844763744,10.60376730657541
1,77,-0.22339356,0.7,0.750900966,1373.5231020856888,10.995592628682594
1,77,-0.22339356,0.8,0.775033477,1417.6654895251488,11.309006354137662
1,77,-0.22339356,0.9,0.794903098,1454.0103401897663,11.56540501972581
1,77,-0.22339356,1.0,0.811547689,1484.4560731138436,11.779049421679254
1,77,-0.22339356,1.1,0.825693494,1510.331109696363,11.959810462979945
10,77,0.31689255,0.1,0.012446493,22.76671152324474,0.20435396039411308
10,77,0.31689255,0.2,0.024586965,44.97365959930361,0.4028804254874443
10,77,0.31689255,0.3,0.036432564,66.64123577944017,0.5958251441475682
10,77,0.31689255,0.4,0.047993905,87.78885666902426,0.783420271061897
10,77,0.31689255,0.5,0.059281099,108.4350169733685,0.9658852539252791
10,77,0.31689255,0.6,0.070303781,128.59734071439843,1.143427665995176
10,77,0.31689255,0.7,0.081071144,148.29264342232256,1.3162440997143703
10,77,0.31689255,0.8,0.091591955,167.53696140230136,1.4845207387255783
10,77,0.31689255,0.9,0.101874588,186.3456120969506,1.648434174736984
10,77,0.31689255,1.0,0.11192704,204.73322335301,1.8081519257373693
10,77,0.31689255,1.1,0.121756954,222.7137754921792,1.9638330433408389
11,77,0.35705319,0.1,0.009600613,17.554563056434866,0.1576434777210301
11,77,0.35705319,0.2,0.019018636,34.77526329926872,0.31180660644899355
11,77,0.35705319,0.3,0.028259227,51.6715320467148,0.46260335316578255
11,77,0.35705319,0.4,0.037327356,68.25245686207667,0.6101428352081076
11,77,0.35705319,0.5,0.046227804,84.52677972526462,0.754529421837503
11,77,0.35705319,0.6,0.054965181,100.50292994549991,0.8958631367424844
11,77,0.35705319,0.7,0.063543927,116.18902598979815,1.0342397759495414
11,77,0.35705319,0.8,0.071968324,131.59289742477225,1.1697511968910441
11,77,0.35705319,0.9,0.0802425,146.72209223056635,1.3024854712458689
11,77,0.35705319,1.0,0.088370437,161.5838914287249,1.432527096173503
11,77,0.35705319,1.1,0.096355979,176.18532371006037,1.5599571993679353
12,77,-0.05082831,0.1,0.122348963,223.34532800584063,1.9692922443960588
12,77,-0.05082831,0.2,0.218023034,397.9962301892052,3.456012855741654
12,77,-0.05082831,0.3,0.294888328,538.3121256389719,4.618180726294716
12,77,-0.05082831,0.4,0.357994928,653.511829263214,5.551612694381015
12,77,-0.05082831,0.5,0.41073353,749.7849816744814,6.317787800757574
12,77,-0.05082831,0.6,0.455465265,831.4417753315338,6.9579644424240445
12,77,-0.05082831,0.7,0.493884906,901.575980890854,7.500862053525176
12,77,-0.05082831,0.8,0.52724045,962.4657892948144,7.967088189493493
12,77,-0.05082831,0.9,0.556471238,1015.8259467791828,8.371813640867705
12,77,-0.05082831,1.0,0.582297821,1062.9718032700555,8.726454443925805
12,77,-0.05082831,1.1,0.605282155,1104.9291970260272,9.039765813277793
13,77,0.20331324,0.1,0.025795065,47.32992955078485,0.423898750418594
13,77,0.20331324,0.2,0.050292824,92.2795045032847,0.8231645531458393
13,77,0.20331324,0.3,0.073588743,135.0238901092442,1.19988391409839
13,77,0.20331324,0.4,0.095769147,175.72147930810635,1.5559141885452286
13,77,0.20331324,0.5,0.116912286,214.51584867110083,1.892914158838601
13,77,0.20331324,0.6,0.137089259,251.53745379743364,2.2123699026914236
13,77,0.20331324,0.7,0.156364813,286.9050953549311,2.5156167051924614
13,77,0.20331324,0.8,0.174798035,320.72718879233776,2.8038576827662434
13,77,0.20331324,0.9,0.192442958,353.1028762549987,3.0781797527598664
13,77,0.20331324,1.0,0.209349091,384.1229990523709,3.3395673456876227
13,77,0.20331324,1.1,0.225561883,413.8709490258069,3.588914210139873
14,77,1.42821276,0.1,8.83e-06,0.0162384561345931,0.0001460546076284502
14,77,1.42821276,0.2,1.77e-05,0.032550472659377,0.00029277041474179535
14,77,1.42821276,0.3,2.65e-05,0.0487337585013271,0.0004383279490206496
14,77,1.42821276,0.4,3.53e-05,0.0649170443432773,0.0005838850595589643
14,77,1.42821276,0.5,4.41e-05,0.0811003301852274,0.00072944174635859
14,77,1.42821276,0.6,5.3e-05,0.0974675170026543,0.0008766520554303244
14,77,1.42821276,0.7,6.18e-05,0.1136508028446044,0.001022207889942963
14,77,1.42821276,0.8,7.06e-05,0.1298340886865546,0.0011677633007224845
14,77,1.42821276,0.9,7.95e-05,0.1462012755039815,0.0013149723192795542
14,77,1.42821276,1.0,8.83e-05,0.1623845613459316,0.0014605268777832963
14,77,1.42821276,1.1,9.71e-05,0.1785678471878818,0.0016060810125594926
15,77,0.13052208,0.1,0.040868203,75.42539746031784,0.6738332586343114
15,77,0.13052208,0.2,0.078527144,144.92785620213377,1.2867625823797293
15,77,0.13052208,0.3,0.11334056,209.17868070624493,1.8466880470839258
15,77,0.13052208,0.4,0.145619225,268.7514281821604,2.3602000856428216
15,77,0.13052208,0.5,0.175630246,324.1390650477927,2.832839990888923
15,77,0.13052208,0.6,0.203604475,375.7676463429123,3.2693007343356872
15,77,0.13052208,0.7,0.229742455,424.0072895273664,3.6735832685922287
15,77,0.13052208,0.8,0.254219242,469.1810738512463,4.049119637899944
15,77,0.13052208,0.9,0.277188321,511.57226763269153,4.398870500504501
15,77,0.13052208,1.0,0.298784838,551.4302931613282,4.72540350371958
15,77,0.13052208,1.1,0.319128254,588.975624858457,5.030956318317657
16,77,1.30082823,0.1,2.03e-05,0.0370261843038327,0.00033302640746708546
16,77,1.30082823,0.2,4.06e-05,0.0740523686076655,0.0006660505968097964
16,77,1.30082823,0.3,6.09e-05,0.1110785529114983,0.0009990725680502938
16,77,1.30082823,0.4,8.12e-05,0.1481047372153311,0.0013320923212107375
16,77,1.30082823,0.5,0.0001015,0.1851309215191639,0.001665109856313288
16,77,1.30082823,0.6,0.000121798,0.2221534579230653,0.001998092364098512
16,77,1.30082823,0.7,0.000142095,0.2591741703770009,0.0023310562497756314
16,77,1.30082823,0.8,0.00016239,0.2961912349310052,0.0026639851092722104
16,77,1.30082823,0.9,0.000182686,0.3332101234349752,0.002996928156205072
16,77,1.30082823,1.0,0.00020298,0.3702253640390137,0.0033298361776570927
16,77,1.30082823,1.1,0.000223273,0.4072387806930865,0.0036627255784004087
17,77,0.2572791,0.1,0.018268155,33.327808560213114,0.29886703265407627
17,77,0.2572791,0.2,0.035880833,65.45978689172371,0.5853238886637875
17,77,0.2572791,0.3,0.052872692,96.45916388595954,0.8601278459132755
17,77,0.2572791,0.4,0.069275986,126.38478265747162,1.1239757502911591
17,77,0.2572791,0.5,0.085120776,155.29148548524918,1.377510023597322
17,77,0.2572791,0.6,0.100435109,183.23044037430915,1.6213238072224627
17,77,0.2572791,0.7,0.115245183,210.24944207615525,1.8559655846140257
17,77,0.2572791,0.8,0.129575502,236.3931948655741,2.0819433867875476
17,77,0.2572791,0.9,0.143449005,261.70354788390244,2.2997283642393125
17,77,0.2572791,1.0,0.156887193,286.21972683356404,2.509758136718731
17,77,0.2572791,1.1,0.169910238,309.978532834008,2.7124396937959268
18,77,8.73995928,0.1,1.5500000000000002e-26,2.824758110415482e-23,2.5406943653955613e-25
18,77,8.73995928,0.2,3.1100000000000004e-26,5.667740466704611e-23,5.097780307342062e-25
18,77,8.73995928,0.3,4.66e-26,8.492498577120093e-23,7.638474672737621e-25
18,77,8.73995928,0.4,6.210000000000001e-26,1.1317256687535574e-22,1.0179169038133183e-24
18,77,8.73995928,0.5,7.77e-26,1.4160239043824702e-22,1.2736254980079683e-24
18,77,8.73995928,0.6,9.32e-26,1.6984997154240185e-22,1.5276949345475242e-24
18,77,8.73995928,0.7,1.09e-25,1.9864428002276609e-22,1.786681844052362e-24
18,77,8.73995928,0.8,1.24e-25,2.2598064883323845e-22,2.0325554923164483e-24
18,77,8.73995928,0.9,1.4e-25,2.5513944223107574e-22,2.2948207171314744e-24
18,77,8.73995928,1.0,1.55e-25,2.8247581104154813e-22,2.5406943653955604e-24
18,77,8.73995928,1.1,1.71e-25,3.1163460443938536e-22,2.8029595902105865e-24
19,77,0.00564759,0.1,0.08790418,160.4671378799055,1.4227673449937166
19,77,0.00564759,0.2,0.161602799,295.0023381016882,2.5847791262465636
19,77,0.00564759,0.3,0.224281907,409.4216645276385,3.551702221665147
19,77,0.00564759,0.4,0.278241064,507.9229131167552,4.368861635908053
19,77,0.00564759,0.5,0.32518161,593.6118424388882,5.068551063365587
19,77,0.00564759,0.6,0.366389319,668.8356045150263,5.674402142447723
19,77,0.00564759,0.7,0.402853973,735.4010245116754,6.204106114905972
19,77,0.00564759,0.8,0.435349906,794.7216320328102,6.671170118591754
19,77,0.00564759,0.9,0.464491598,847.9191467382285,7.086085068988897
19,77,0.00564759,1.0,0.490772899,895.8950808886898,7.457123039701841
19,77,0.00564759,1.1,0.514595249,939.3822543322434,7.790894459865225
2,77,-0.37587849,0.1,0.538462145,988.4963009443431,8.16496978380866
2,77,-0.37587849,0.2,0.700000513,1285.044685471144,10.360673222816514
2,77,-0.37587849,0.3,0.7777782,1427.8271570142583,11.38084254194173
2,77,-0.37587849,0.4,0.823529767,1511.8168212123005,11.970167046131257
2,77,-0.37587849,0.5,0.853658842,1567.127077401943,12.353996964382482
2,77,-0.37587849,0.6,0.875000267,1606.3051697994715,12.62385753178695
2,77,-0.37587849,0.7,0.890909328,1635.5106545230035,12.823947651838234
2,77,-0.37587849,0.8,0.90322602,1658.1213516628566,12.978227866632269
2,77,-0.37587849,0.9,0.913043672,1676.144369206567,13.100814267897498
2,77,-0.37587849,1.0,0.921052809,1690.847356912892,13.20056345549303
2,77,-0.37587849,1.1,0.927711007,1703.0703221762258,13.283313325346747
20,77,-38.89432482,0.1,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.2,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.3,1.0,1825.0680993053656,14.100677301494708
20,77,-38.89432482,0.4,1.0,1825.0680993053656,14.100677301494708
