File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g)
1,77,-0.22339356,0.1,0.301011268,550.5998118347162
1,77,-0.22339356,0.2,0.462734298,846.4182058735073
1,77,-0.22339356,0.3,0.563683584,1031.0712862905798
1,77,-0.22339356,0.4,0.63269768,1157.3095780462993
1,77,-0.22339356,0.5,0.682860963,1249.0665888862109
1,77,-0.22339356,0.6,0.720968858,1318.7722844763744
1,77,-0.22339356,0.7,0.750900966,1373.5231020856888
1,77,-0.22339356,0.8,0.775033477,1417.6654895251488
1,77,-0.22339356,0.9,0.794903098,1454.0103401897663
1,77,-0.22339356,1.0,0.811547689,1484.4560731138436
1,77,-0.22339356,1.1,0.825693494,1510.331109696363
10,77,0.31689255,0.1,0.012446493,22.76671152324474
10,77,0.31689255,0.2,0.024586965,44.97365959930361
10,77,0.31689255,0.3,0.036432564,66.64123577944017
10,77,0.31689255,0.4,0.047993905,87.78885666902426
10,77,0.31689255,0.5,0.059281099,108.4350169733685
10,77,0.31689255,0.6,0.070303781,128.59734071439843
10,77,0.31689255,0.7,0.081071144,148.29264342232256
10,77,0.31689255,0.8,0.091591955,167.53696140230136
10,77,0.31689255,0.9,0.101874588,186.3456120969506
10,77,0.31689255,1.0,0.11192704,204.73322335300998
10,77,0.31689255,1.1,0.121756954,222.7137754921792
11,77,0.35705319,0.1,0.009600613,17.554563056434866
11,77,0.35705319,0.2,0.019018636,34.77526329926872
11,77,0.35705319,0.3,0.028259227,51.6715320467148
11,77,0.35705319,0.4,0.037327356,68.25245686207667
11,77,0.35705319,0.5,0.046227804,84.52677972526462
11,77,0.35705319,0.6,0.054965181,100.50292994549991
11,77,0.35705319,0.7,0.063543927,116.18902598979817
11,77,0.35705319,0.8,0.071968324,131.59289742477225
11,77,0.35705319,0.9,0.0802425,146.72209223056637
11,77,0.35705319,1.0,0.088370437,161.5838914287249
11,77,0.35705319,1.1,0.096355979,176.18532371006037
12,77,-0.05082831,0.1,0.122348963,223.34532800584066
12,77,-0.05082831,0.2,0.218023034,397.99623018920516
12,77,-0.05082831,0.3,0.294888328,538.3121256389719
12,77,-0.05082831,0.4,0.357994928,653.511829263214
12,77,-0.05082831,0.5,0.41073353,749.7849816744814
12,77,-0.05082831,0.6,0.455465265,831.4417753315338
12,77,-0.05082831,0.7,0.493884906,901.5759808908539
12,77,-0.05082831,0.8,0.52724045,962.4657892948143
12,77,-0.05082831,0.9,0.556471238,1015.8259467791829
12,77,-0.05082831,1.0,0.582297821,1062.9718032700557
12,77,-0.05082831,1.1,0.605282155,1104.9291970260272
13,77,0.20331324,0.1,0.025795065,47.32992955078485
13,77,0.20331324,0.2,0.050292824,92.2795045032847
13,77,0.20331324,0.3,0.073588743,135.0238901092442
13,77,0.20331324,0.4,0.095769147,175.72147930810635
13,77,0.20331324,0.5,0.116912286,214.51584867110085
13,77,0.20331324,0.6,0.137089259,251.53745379743364
13,77,0.20331324,0.7,0.156364813,286.9050953549311
13,77,0.20331324,0.8,0.174798035,320.72718879233776
13,77,0.20331324,0.9,0.192442958,353.1028762549987
13,77,0.20331324,1.0,0.209349091,384.1229990523709
13,77,0.20331324,1.1,0.225561883,413.87094902580685
14,77,1.42821276,0.1,8.83e-06,0.01623845613459317
14,77,1.42821276,0.2,1.77e-05,0.032550472659377015
14,77,1.42821276,0.3,2.65e-05,0.04873375850132717
14,77,1.42821276,0.4,3.53e-05,0.06491704434327732
14,77,1.42821276,0.5,4.41e-05,0.08110033018522747
14,77,1.42821276,0.6,5.3e-05,0.09746751700265434
14,77,1.42821276,0.7,6.18e-05,0.11365080284460449
14,77,1.42821276,0.8,7.06e-05,0.12983408868655463
14,77,1.42821276,0.9,7.95e-05,0.14620127550398151
14,77,1.42821276,1.0,8.83e-05,0.16238456134593168
14,77,1.42821276,1.1,9.71e-05,0.1785678471878818
15,77,0.13052208,0.1,0.040868203,75.42539746031784
15,77,0.13052208,0.2,0.078527144,144.92785620213377
15,77,0.13052208,0.3,0.11334056,209.17868070624493
15,77,0.13052208,0.4,0.145619225,268.7514281821604
15,77,0.13052208,0.5,0.175630246,324.1390650477927
15,77,0.13052208,0.6,0.203604475,375.7676463429123
15,77,0.13052208,0.7,0.229742455,424.0072895273664
15,77,0.13052208,0.8,0.254219242,469.18107385124625
15,77,0.13052208,0.9,0.277188321,511.57226763269153
15,77,0.13052208,1.0,0.298784838,551.4302931613282
15,77,0.13052208,1.1,0.319128254,588.975624858457
16,77,1.30082823,0.1,2.03e-05,0.03702618430383279
16,77,1.30082823,0.2,4.06e-05,0.07405236860766558
16,77,1.30082823,0.3,6.09e-05,0.11107855291149837
16,77,1.30082823,0.4,8.12e-05,0.14810473721533116
16,77,1.30082823,0.5,0.0001015,0.18513092151916394
16,77,1.30082823,0.6,0.000121798,0.22215345792306532
16,77,1.30082823,0.7,0.000142095,0.25917417037700097
16,77,1.30082823,0.8,0.00016239,0.29619123493100524
16,77,1.30082823,0.9,0.000182686,0.33321012343497525
16,77,1.30082823,1.0,0.00020298,0.37022536403901374
16,77,1.30082823,1.1,0.000223273,0.40723878069308656
17,77,0.2572791,0.1,0.018268155,33.327808560213114
17,77,0.2572791,0.2,0.035880833,65.45978689172371
17,77,0.2572791,0.3,0.052872692,96.45916388595954
17,77,0.2572791,0.4,0.069275986,126.38478265747162
17,77,0.2572791,0.5,0.085120776,155.29148548524918
17,77,0.2572791,0.6,0.100435109,183.23044037430913
17,77,0.2572791,0.7,0.115245183,210.24944207615525
17,77,0.2572791,0.8,0.129575502,236.39319486557406
17,77,0.2572791,0.9,0.143449005,261.70354788390244
17,77,0.2572791,1.0,0.156887193,286.21972683356404
17,77,0.2572791,1.1,0.169910238,309.978532834008
18,77,8.73995928,0.1,1.5500000000000002e-26,2.824758110415482e-23
18,77,8.73995928,0.2,3.1100000000000004e-26,5.667740466704611e-23
18,77,8.73995928,0.3,4.66e-26,8.492498577120092e-23
18,77,8.73995928,0.4,6.210000000000001e-26,1.1317256687535574e-22
18,77,8.73995928,0.5,7.77e-26,1.4160239043824702e-22
18,77,8.73995928,0.6,9.32e-26,1.6984997154240183e-22
18,77,8.73995928,0.7,1.09e-25,1.9864428002276606e-22
18,77,8.73995928,0.8,1.24e-25,2.2598064883323845e-22
18,77,8.73995928,0.9,1.4e-25,2.5513944223107574e-22
18,77,8.73995928,1.0,1.55e-25,2.8247581104154813e-22
18,77,8.73995928,1.1,1.71e-25,3.1163460443938536e-22
19,77,0.00564759,0.1,0.08790418,160.4671378799055
19,77,0.00564759,0.2,0.161602799,295.0023381016882
19,77,0.00564759,0.3,0.224281907,409.4216645276385
19,77,0.00564759,0.4,0.278241064,507.92291311675524
19,77,0.00564759,0.5,0.32518161,593.6118424388882
